#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Brian Mihalik,DT,Boston College,23,6087,302,138.7,2,97.6,Mihalik,6087,302,34.75,9.75,,4.86,2.76,1.7,4.37,7.23,23,35.5,10.17
2,David Irving,DT,Iowa State,22,6073,273,130,1.3,91.1,Irving,6073,273,,10.75,,4.82,2.82,1.69,4.52,7.27,13,38,10.67
3,B.J. McBryde,DT,Connecticut,23.9,6051,292,128.9,1.3,89.8,McBryde,6051,292,35.13,10.5,,5,2.79,1.73,4.25,7.22,24,31.5,10.25
4,Mike Bennett,DT,Ohio State,22.6,6020,293,128.8,1.3,89.8,Bennett,6020,293,33.625,10.25,80.375,5.04,2.87,1.74,4.28,7.13,,33.5,9.67
5,Warren Herring,DT,Wisconsin,23.7,6022,287,127.2,1.2,87.5,Herring,6022,287,31.88,9.75,,5.2,2.86,1.66,4.57,7.38,28,35,9.67
6,Tory Slater,DT,West Georgia,22,6041,290,127,1.1,87.3,Slater,6041,290,,,,4.95,,,,,31,35,10.25
7,Josh Watson,DT,Clemson,25.6,6041,298,126.7,1.1,86.7,Watson,6041,298,31.5,10.25,,5.03,2.94,1.64,4.65,7.52,37,32.5,9.08
8,Grady Jarrett,DT,Clemson,22.4,6006,304,126.6,1.1,86.7,Jarrett,6006,304,32.375,10,78.625,5.06,2.87,1.69,4.56,7.37,33,31,9.42
9,Xavier Cooper,DT,Washington State,,6027,293,126,1.1,85.6,Cooper,6027,293,31.5,9.375,76.375,4.86,2.81,1.67,4.37,7.23,29,29,9.17
10,Vince Taylor,DT,Vanderbilt,23.3,6006,304,123.1,0.9,80.4,Taylor,6006,304,32.88,10.38,80.75,5.34,2.9,1.72,4.58,7.46,36,34.5,9
11,Tyeler Davison,DT,Fresno State,23,6015,316,120,0.6,73.9,Davison,6015,316,34,10.75,82.375,5.14,2.94,1.75,4.46,7.53,32,33,8.75
12,Henry Anderson,DT,Stanford,24.1,6062,294,120,0.6,73.7,Anderson,6062,294,33.5,9.75,79.5,4.97,2.9,1.74,4.19,7.2,23,30,9.25
13,Rakeem Nunez-Roches,DT,Southern Miss,22.2,6022,307,119.7,0.6,73.2,Nunez-Roches,6022,307,32.625,10.125,79.75,5.02,2.9,1.71,4.69,7.67,26,34,9.5
14,David Parry,NT,Stanford,23.5,6012,308,113.6,0.6,71.9,Parry,6012,308,31,9.875,76.125,5.38,3.01,1.75,4.34,7.47,34,29,8.58
15,Darius Philon,DT,Arkansas,21.7,6013,298,119,0.6,71.4,Philon,6013,298,32.375,9.5,79.25,4.89,2.93,1.64,4.75,7.53,26,31,8.92
16,Christian Covington,DT,Rice,22,6023,289,119,0.6,71.3,Covington,6023,289,33.25,10,80.125,4.9,2.79,1.68,4.43,7.43,24,30.5,9.25
17,Alfy Hill,DT,Winston-Salem,24.1,6035,283,118.6,0.5,70.5,Hill,6035,283,34.5,10,83.375,4.89,2.78,1.6,4.83,7.54,22,31.5,9.33
18,Caushaud Lyons,DT,Tusculum,22.8,6044,284,117.9,0.5,68.7,Lyons,6044,284,34.13,9.5,83,4.86,2.75,1.71,4.55,7.51,24,30.5,10
19,Bradon Prate,DT,Illinois State,24,6030,288,117.9,0.5,68.6,Prate,6030,288,33.25,10.88,,4.83,2.73,1.69,4.5,7.6,25,31,9.5
20,Angelo Blackson,NT,Auburn,22.9,6043,318,112.1,0.5,67.6,Blackson,6043,318,33.75,9.75,80.25,4.97,2.86,1.72,4.57,7.5,21,31,8.42
21,James Rouse,DT,Marshall,,6045,277,116.3,0.4,64.5,Rouse,6045,277,32.63,8.75,79.5,4.89,2.81,1.69,4.7,7.56,38,29,9.58
22,Arik Armstead,DT,Oregon,20.9,6071,292,116.3,0.4,64.4,Armstead,6071,292,33,10.5,81.5,5.1,2.92,1.75,4.53,7.57,24,34,9.75
