#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Jimmy Hall,ILB,Northwestern,,6010,228,141.1,1.7,95.7,Hall,6010,228,32.5,9.63,,4.44,2.59,1.56,4.24,7.07,24,39.5,10.83
2,Mark Nzeocha,ILB,Wyoming,25.8,6023,232,140.7,1.7,95.3,Nzeocha,6023,232,33,10,79.625,4.52,2.65,1.56,4.3,6.92,24,39,10.92
3,Stephone Anthony,ILB,Clemson,23.1,6025,243,137.5,1.4,92.2,Anthony,6025,243,32.5,10.375,78.25,4.56,2.63,1.56,4.03,7.07,23,37,10.17
4,Cameron Ontko,ILB,Cal Poly,23.5,5106,222,136.3,1.3,90.5,Ontko,5106,222,29.75,9.88,,4.48,2.61,1.59,4.16,6.73,19,40,10.08
5,Jordan Hicks,ILB,Texas,23.2,6013,236,134.2,1.1,87.3,Hicks,6013,236,32,10,78,4.68,2.67,1.58,4.15,6.78,20,38,10.33
6,Eric Kendricks,ILB,UCLA,23.6,6002,232,132.6,1,84.3,Kendricks,6002,232,31,9.625,76,4.61,2.64,1.57,4.14,7.14,22,38,10.33
7,Ben Heeney,ILB,Kansas,23.4,6002,231,129.6,0.8,77.8,Heeney,6002,231,30.75,9,74.375,4.59,2.71,1.61,4,6.68,19,33.5,10
8,Trevor Roach,ILB,Nebraska,23.6,6021,237,128.3,0.7,74.4,Roach,6021,237,29.38,8.88,,4.79,2.75,1.55,4.21,6.8,25,35.5,10
9,Alani Fua,ILB,BYU,,6046,238,128.3,0.7,74.4,Fua,6046,238,32,10.125,78.25,4.57,2.69,1.65,4.15,6.83,20,35.5,9.92
10,Kwon Alexander,ILB,LSU,21.1,6006,227,128.3,0.7,74.3,Alexander,6006,227,30.25,9.25,74.625,4.55,2.68,1.58,4.2,7.14,24,36,10.08
