#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Daryl Virgies,RB,Virginia-Lynchburg,,5107,217,150.7,2.4,99.1,Virgies,5107,217,,,,4.4,,,4.2,6.88,25,,11.33
2,Daniel Lasco,RB,California,23.9,6002,209,147,2.1,98.1,Lasco,6002,209,32,9.125,76.875,4.46,2.57,1.54,4.13,6.84,23,41.5,11.25
3,Brandon Johnson,RB,Penn State,,6020,228,144.2,1.8,96.8,Johnson,6020,228,,,,4.43,2.56,1.54,4.12,6.84,22,39.5,10.58
4,Dan Vitale,FB,Northwestern,21.9,6007,239,134.7,1.8,96.6,Vitale,6007,239,31.75,9.75,75.625,4.6,2.69,1.61,4.12,7.12,30,38.5,10.25
5,Darius Jackson,RB,Eastern Michigan,22.8,6000,220,143.4,1.8,96.2,Jackson,6000,220,,,,4.4,2.51,1.56,4.29,6.87,20,41,11.08
6,Will Ratelle,FB,North Dakota,,5096,251,132,1.6,94.8,Ratelle,5096,251,,,,4.57,2.68,1.59,4.34,6.92,36,36,9.83
7,Stephen Anderson,FB,California,23.6,6021,230,128.7,1.4,91.7,Anderson,6021,230,32,9.25,77.875,4.64,2.69,1.59,4.13,6.95,16,38,9.92
8,Dwayne Washington,RB,Washington,22.4,6010,223,135.3,1.1,86.9,Washington,6010,223,,,,4.48,2.6,1.58,4.22,6.85,21,37.5,10.58
9,Joel Scott,FB,Morgan State,,6001,249,123.5,1,84.1,Scott,6001,249,,,,4.66,,,4.46,7.15,20,38,10.08
10,DeMarrion Buford-Hughes,FB,South Alabama,,6025,211,122.9,1,83.1,Buford-Hughes,6025,211,,,,4.56,2.66,1.6,4.21,7.42,24,38.5,10.25
11,Radir Annoor,RB,Tennessee Tech,,5090,208,132.9,0.9,82.4,Annoor,5090,208,,,,4.51,2.5,1.51,,7.23,39,39,10.33
12,Derrick Henry,RB,Alabama,22.1,6025,247,132.7,0.9,82,Henry,6025,247,33,8.75,80.75,4.54,2.67,1.6,4.38,7.2,22,37,10.83
13,Brandon Burks,RB,Troy,22.8,5085,208,130.7,0.8,77.6,Burks,5085,208,,,,4.56,2.63,1.52,4.18,6.88,24,37,10
14,Jhurell Pressley,RB,New Mexico,,5101,206,129.6,0.7,74.8,Pressley,5101,206,,,,4.4,2.57,1.44,4.15,7.01,25,33.5,9.75
15,Tyler Ervin,RB,San Jose State,22.9,5097,192,128.9,0.6,73,Ervin,5097,192,29.75,9.125,73.5,4.41,2.59,1.56,4.34,7.03,17,39,10.83
16,Kenneth Farrow,RB,Houston,23.5,5094,219,128.2,0.6,71.1,Farrow,5094,219,,,,4.59,2.72,1.62,4.14,6.95,23,38,10.17
