#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Brian Parker,TE,Albany,23.3,6044,265,134.1,1.3,89.5,Parker,6044,265,33.5,10.13,,4.7,2.64,1.58,4.4,7.03,25,38.5,9.92
2,John Peters,TE,Mount St. Joseph,,6083,265,131.8,1.1,86,Peters,6083,265,,,,4.7,2.69,1.66,4.26,7.02,27,33,10.42
3,Jeff Heuerman,TE,Ohio State,22.9,6051,254,123.5,0.5,67.9,Heuerman,6051,254,33.25,10.125,80.25,4.81,2.75,1.63,4.32,6.98,26,34.5,10
4,Beau Gardner,TE,Northern Arizona,25.8,6043,253,123.5,0.5,67.8,Gardner,6043,253,31.5,9.88,,4.72,2.72,1.68,4.48,7.12,22,41,9.83
5,MyCole Pruitt,TE,Southern Illinois,23.5,6022,251,123,0.4,66.7,Pruitt,6022,251,33.5,10.25,79.625,4.58,2.7,1.63,4.37,7.25,17,38,9.83
6,Jesse James,TE,Penn State,21.3,6070,261,121.4,0.3,62.2,James,6070,261,33,9.375,80.875,4.66,2.78,1.69,4.5,7.53,26,37.5,10.08
7,Casey Pierce,TE,Kent State,24,6032,244,121.1,0.3,61.4,Pierce,6032,244,31.38,9.38,76,4.76,2.7,1.65,4.22,6.97,19,36.5,9.83
8,Chris Malott,TE,Southeast Louisiana,,6041,236,117.3,0,50.2,Malott,6041,236,,9,,4.7,2.61,1.58,4.52,7.35,14,40.5,10.08
9,Mitchell Henry,TE,Western Kentucky,22.8,6035,252,117.1,0,49.6,Henry,6035,252,31.88,9.13,75,4.68,2.66,1.68,4.28,7.15,15,37,9.5
10,Geoff Swaim,TE,Texas,,6043,252,117,0,49.3,Swaim,6043,252,33.63,9.25,,4.69,2.73,1.66,4.58,7.28,,35.5,10.33
11,Mitch King,TE,Pennsylvania,,6053,253,116.9,0,48.9,King,6053,253,,10.13,,4.7,2.62,1.59,4.43,7.33,21,33,10
12,C.J. Uzomah,TE,Auburn,22.8,6056,262,116.8,0,48.6,Uzomah,6056,262,34.75,9.75,82,4.6,2.65,1.58,4.57,7.22,19,31,9.83
13,Gannon Sinclair,TE,Missouri State,20.9,6067,257,116.5,-0.1,47.8,Sinclair,6067,257,33.25,9,,4.76,2.74,1.61,4.22,7.03,13,32,9.75
14,Luke Eakes,TE,Northern Illinois,24.4,6025,246,115.9,-0.1,46.1,Eakes,6025,246,,,,4.83,2.84,1.66,4.12,6.9,21,33,9.5
15,Matt Lengel,TE,Eastern Kentucky,24.8,6077,268,115.9,-0.1,46,Lengel,6077,268,33.75,10.13,,4.91,2.71,1.66,4.33,7.26,26,32,9.75
16,James O'Shaughnessy,TE,Illinois State,23.7,6042,248,115.6,-0.1,45,O'Shaughnessy,6042,248,32.13,9.75,,4.67,2.71,1.61,4.38,7.2,16,35,9.67
17,Mike McFarland,TE,South Florida,,6064,252,114.2,-0.2,41,McFarland,6064,252,35.25,10.5,,4.78,2.78,1.63,4.4,7.15,18,35,9.67
18,Gerald Christian,TE,Louisville,24,6030,244,114.1,-0.2,40.9,Christian,6030,244,32.5,10.75,79.5,4.78,2.72,1.6,4.56,7.26,28,34.5,9.83
19,Wes Saxton,TE,South Alabama,22.1,6033,248,113.8,-0.3,39.9,Saxton,6033,248,32,9.625,78.25,4.65,2.79,1.7,4.49,7.29,19,36,9.92
20,Westlee Tonga,TE,Utah,27.1,6035,245,113.2,-0.3,38.3,Tonga,6035,245,31.75,10,78.625,4.75,2.75,1.65,4.43,7.2,26,32.5,9.83
21,Kennard Backman,TE,UAB,22.6,6032,243,112.6,-0.3,36.5,Backman,6032,243,33.38,9.38,77.5,4.65,2.74,1.65,4.49,7.23,17,35.5,9.75
22,Blake Bell,TE,Oklahoma,24.1,6062,252,112.1,-0.4,35,Bell,6062,252,33.125,10,79.625,4.8,2.85,1.73,4.32,6.85,18,33,9.67
23,Will Tye,TE,Stony Brook,23.9,6021,257,112,-0.4,34.8,Tye,6021,257,,9.13,,4.55,2.65,1.6,4.65,7.21,,31.5,9.33
24,Tyler Kroft,TE,Rutgers,22.9,6054,246,110.9,-0.5,31.9,Kroft,6054,246,33,9.625,78.875,4.75,2.79,1.65,4.5,7.18,17,34,10
25,Harold Spears,TE,New Hampshire,23.6,6035,251,110.6,-0.5,31.2,Spears,6035,251,32,9.88,,4.73,2.81,1.75,4.53,7.25,20,36.5,9.83
26,Nick Boyle,TE,Delaware,22.6,6044,268,109,-0.6,26.9,Boyle,6044,268,33.375,10.375,81.25,5,2.85,1.65,4.23,7.13,20,30.5,9.33
27,Alex Evans,TE,Washington & Lee,,6043,249,108.8,-0.6,26.7,Evans,6043,249,34.5,9.75,,4.89,,,4.38,,,34.5,
28,Matt LaCosse,TE,Illinois,23,6057,257,108.6,-0.6,26.1,LaCosse,6057,257,31,8.38,,4.7,2.72,1.6,4.57,7.3,20,30,9.67
29,Gabe Holmes,TE,Purdue,24.5,6050,254,108.3,-0.7,25.4,Holmes,6050,254,33,10.13,79.5,4.84,2.78,1.68,4.3,7.31,21,33.5,9.33
30,Steven Borden,TE,Kentucky,,6030,233,108.1,-0.7,24.9,Borden,6030,233,31.63,9.75,76.875,4.75,2.72,1.64,4.46,7.29,21,33,9.92
31,Clive Walford,TE,Miami,23.9,6040,251,107.6,-0.7,23.7,Walford,6040,251,34,10.25,81.5,4.79,2.84,1.72,4.57,7.32,20,35,10
32,Jake Golic,TE,Cincinnati,24.8,6040,251,107,-0.8,22.5,Golic,6040,251,,,,4.78,2.81,1.67,4.56,7.38,19,33.5,10
33,Maxx Williams,TE,Minnesota,21.4,6037,249,106.4,-0.8,21.1,Williams,6037,249,33.5,10.375,80.125,4.78,2.88,1.77,4.37,7.3,17,34.5,9.75
34,Jack Tabb,TE,North Carolina,23.1,6027,243,106.2,-0.8,20.7,Tabb,6027,243,30.88,8.38,74.75,4.7,2.75,1.65,4.4,7.12,17,31,9.42
35,Devin Mahina,TE,BYU,26.8,6055,250,106,-0.8,20.2,Mahina,6055,250,34,10.13,80.75,4.8,2.78,1.69,4.45,7.12,23,29.5,9.75
36,Matt Marfisi,TE,Tulane,23.6,6061,265,106,-0.8,20.1,Marfisi,6061,265,,,,4.94,2.98,1.69,4.48,7.25,19,31.8,9.75
37,Malcolm Johnson,TE,Mississippi State,23.1,6011,231,104.9,-0.9,18,Johnson,6011,231,31.5,9.13,,4.67,2.74,1.66,4.43,7.14,19,32,9.33
38,Andrew Gleichert,TE,Michigan State,23.7,6047,258,104.6,-0.9,17.4,Gleichert,6047,258,,9.38,,4.87,2.89,1.76,4.46,7.37,20,34.5,9.58
39,Jean Sifrin,TE,Massachusetts,28.1,6052,245,104.6,-0.9,17.4,Sifrin,6052,245,33.375,11,82,4.77,2.79,1.65,4.6,7.18,15,33,9.83
40,Raphael Akpejiori,TE,Miami,24.9,6071,252,104.4,-0.9,17.1,Akpejiori,6071,252,35,10.25,,5.09,2.86,1.74,4.65,6.99,16,37.5,10.17
41,Larry Pettis,TE,Louisiana-Lafayette,22.9,6040,249,103.4,-1,15.2,Pettis,6040,249,,,,5.09,2.9,1.71,4.45,7.25,21,37,9.58
