#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Chris Conley,WR,Georgia,22.9,6017,213,141.8,2.3,98.8,Conley,6017,213,33.75,9.875,81,4.35,2.54,1.52,4.3,7.06,18,45,11.58
2,Sammie Coates,WR,Auburn,22.5,6013,212,137.7,1.9,97.3,Coates,6013,212,33.375,9.375,78.75,4.43,2.59,1.55,4.06,6.98,23,41,10.92
3,Damarr Aultman,WR,Maine,23.7,5110,202,136.6,1.8,96.6,Aultman,5110,202,30.13,9.5,,4.42,2.47,1.58,3.94,6.65,20,40.5,10.67
4,DeAndre Carter,WR,Sacramento State,22.5,5084,185,134.8,1.7,95.2,Carter,5084,185,30.63,8.75,72,4.4,2.53,1.45,3.8,6.64,17,38.5,10.5
5,Breshad Perriman,WR,Central Florida,22,6020,212,134.2,1.6,94.6,Perriman,6020,212,32,9.25,79.375,4.26,2.35,1.51,4,6.99,18,36.5,10.58
6,Arthur Williams,WR,Maine,23.9,5117,185,134,1.6,94.4,Williams,5117,185,,8.88,,4.4,2.47,1.54,4.09,6.57,12,43,11
7,Damiere Byrd,WR,South Carolina,,5092,173,133.4,1.5,93.9,Byrd,5092,173,29.88,8,69.75,4.27,2.54,1.51,4.09,6.59,13,42,10.92
8,Kenny Bell,WR,Nebraska,23.6,6011,197,132.2,1.4,92.5,Bell,6011,197,31.625,9.25,75.75,4.37,2.54,1.47,4.15,6.66,7,41.5,10.75
9,Phillip Dorsett,WR,Miami,22.8,5096,185,131.5,1.4,91.6,Dorsett,5096,185,30.25,9.375,74.75,4.27,2.45,1.48,4.03,6.7,13,38,10.75
10,Kevin White,WR,West Virginia,23.2,6025,215,130.5,1.3,90.1,White,6025,215,32.625,9.25,78.875,4.35,2.54,1.53,4.14,6.92,23,36.5,10.25
11,Cameron Meredith,WR,Illinois State,23,6033,207,130.1,1.3,89.5,Meredith,6033,207,32.13,9.25,,4.47,2.57,1.51,4.12,6.71,14,39,10.58
12,Tyrell Williams,WR,Western Oregon,,6034,204,130,1.2,89.3,Williams,6034,204,33.5,9.88,,4.42,2.59,1.51,4.17,6.74,,39.5,10.58
13,Rannell Hall,WR,Central Florida,22.9,6003,198,128.1,1.1,86,Hall,6003,198,30.5,8.625,74.5,4.57,2.59,1.55,4.15,6.86,16,41,11
14,Tre McBride,WR,William & Mary,22.9,6002,210,127.7,1,85.3,McBride,6002,210,32.125,9,77,4.41,2.55,1.49,4.08,6.96,16,38,10.17
15,Ty Montgomery,WR,Stanford,22.7,5117,221,127.3,1,84.4,Montgomery,5117,221,31,10.125,77,4.5,2.58,1.51,4.21,6.97,16,40.5,10.08
16,Chandler Worthy,WR,Troy,22,5077,176,127.2,1,84.2,Worthy,5077,176,29,8.5,,4.38,2.58,1.51,4.17,7.08,17,39.5,11.42
17,Shakim Phillips,WR,Boston College,23.5,6014,204,127,1,83.7,Phillips,6014,204,32.38,9.5,,4.4,2.47,1.47,4.33,6.97,17,39,10.58
18,Geremy Davis,WR,Connecticut,23.7,6023,216,126.8,1,83.3,Davis,6023,216,32.25,9.5,77,4.49,2.57,1.56,4.18,6.86,23,36.5,10.33
19,Jordan Leslie,WR,BYU,23.9,6015,204,126.4,0.9,82.5,Leslie,6015,204,32.5,10.25,,4.41,2.61,1.61,4.08,6.87,18,36,10.83
20,Isiah Ferguson,WR,Arkansas-Pine Bluff,,6047,218,124.9,0.8,78.9,Ferguson,6047,218,32.63,8.13,,4.56,2.61,1.59,4.4,6.96,23,40,10.58
21,DaVaris Daniels,WR,Notre Dame,22.8,6014,201,124.4,0.8,77.6,Daniels,6014,201,31.25,9,76,4.53,2.56,1.54,4.35,6.81,13,39.5,11.08
22,Darren Waller,WR,Georgia Tech,22.9,6061,238,124.3,0.8,77.4,Waller,6061,238,33.25,9,80.5,4.46,2.62,1.57,4.25,7.07,12,37,10.42
