#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Jalen Ramsey,CB,Florida State,21.9,6012,209,142.8,2.5,99.3,Ramsey,6012,209,33.375,9.5,79.625,4.41,2.57,1.51,4.18,6.94,14,41.5,11.25
2,Ian Wells,CB,Ohio,,5104,199,140.3,2.2,98.7,Wells,5104,199,,,,4.49,2.54,,4.08,,,41,11.33
3,Sean Davis,CB,Maryland,22.9,6010,201,134.6,1.7,95.3,Davis,6010,201,31.375,9.5,76.25,4.46,2.6,1.56,3.97,6.64,21,37.5,10.5
4,Bruce Dukes,CB,Georgia State,,5095,195,132.9,1.5,93.5,Dukes,5095,195,,,,4.51,2.57,1.57,4.13,6.98,11,39,11.5
5,James Bradberry,CB,Samford,23.1,6006,211,132.8,1.5,93.4,Bradberry,6006,211,33.375,9.125,78.625,4.45,2.6,1.53,4.21,6.91,16,36,11
6,KeiVarae Russell,CB,Notre Dame,22.9,5111,192,132.2,1.5,92.7,Russell,5111,192,31.625,10,75.875,4.49,2.63,1.6,4,6.84,17,38.5,11.17
7,Lewis Hill,CB,New Mexico State,,5086,187,131.5,1.4,91.6,Hill,5086,187,,,,4.49,2.46,1.52,4.27,6.94,18,43,10.5
8,Josh Hawkins,CB,East Carolina,23.6,5104,189,129.2,1.2,87.6,Hawkins,5104,189,,,,4.39,2.52,1.51,4.09,7.22,14,40.5,10.42
9,Eric Murray,CB,Minnesota,22.7,5105,199,128.9,1.1,87.1,Murray,5105,199,31.75,9,77,4.49,2.58,1.54,4.05,7.08,15,39.5,10.33
10,Aaron Sibley,CB,Portland State,,5092,173,128.1,1,85.3,Sibley,5092,173,,,,4.59,2.6,1.57,4.04,6.77,13,41,10.83
11,Kishon Wilcher,CB,Toledo,,5070,180,128,1,85.2,Wilcher,5070,180,,,,4.52,2.55,1.62,4.09,6.73,19,41.5,10.75
12,Adairius Barnes,CB,Louisiana Tech,22.3,5106,179,127.9,1,84.9,Barnes,5106,179,30,,,4.55,2.59,1.56,4.08,6.82,14,41.5,10.5
13,Xavien Howard,CB,Baylor,23.2,6001,201,127.8,1,84.6,Howard,6001,201,31.25,9.125,75.625,4.44,2.53,1.55,4.15,6.91,11,38.5,10.42
14,Blake Countess,CB,Auburn,23.1,5096,184,126.4,0.9,81.1,Countess,5096,184,,,,4.53,2.56,1.46,4.15,6.82,21,36.5,10.08
15,Antonio Hamilton,CB,South Carolina State,23.6,5117,188,126.1,0.9,80.4,Hamilton,5117,188,,,,4.46,2.64,1.55,4.27,6.97,14,38,11
16,Tre Jones,CB,Mount Union,,5100,194,126,0.9,80.3,Jones,5100,194,,,,4.56,2.58,1.53,4.26,6.72,14,37,10.58
17,Dillion Winfrey,CB,Central Arkansas,,5065,172,125.6,0.8,79,Winfrey,5065,172,,,,4.38,2.52,1.54,4.14,7.07,17,39,10.83
18,Daniel Davie,CB,Nebraska,,6004,190,125.5,0.8,78.9,Davie,6004,190,,,,4.41,2.56,1.58,4.13,6.88,9,39,10.58
19,DeAndre Elliott,CB,Colorado State,23.8,6007,188,125.3,0.8,78.3,Elliott,6007,188,32,9.625,77.625,4.55,2.66,1.62,3.94,6.93,12,41,10.42
20,Josh Burch,CB,Illinois State,,5110,184,124.8,0.7,76.9,Burch,5110,184,,,,4.58,2.5,1.52,4.34,7.13,13,41,10.83
21,Kenneth Durden,CB,Youngstown State,,6005,182,124.8,0.7,76.7,Durden,6005,182,,,,4.5,2.52,1.54,4.21,6.88,16,39.5,10.42
22,Keith Baxter,CB,Marshall,,5106,191,124.4,0.7,75.7,Baxter,5106,191,,,,4.39,2.52,1.48,4.4,7.25,17,37.5,10.75
23,Jalen Mills,CB,LSU,22.4,6000,191,123.8,0.6,73.7,Mills,6000,191,31.125,9.125,76,4.47,2.61,1.58,4,6.86,16,37,10.25
24,Kalan Reed,CB,Southern Miss,,5111,192,123.7,0.6,73.3,Reed,5111,192,,,,4.49,2.55,1.57,4.17,7.05,11,41.5,10.17
25,Prince Charles Iworah,CB,Western Kentucky,23.5,5097,192,123,0.6,71,Charles Iworah,5097,192,,,,4.34,2.52,1.54,4.52,7.12,25,38.5,10.67
26,De'Vante Harris,CB,Texas A&M,23.2,5105,176,122.1,0.5,68.2,Harris,5105,176,30.625,8.125,72.875,4.48,2.53,1.54,4.06,6.82,5,38.5,10.33
27,Maurice Canady,CB,Virginia,,6010,193,122.1,0.5,68.1,Canady,6010,193,31.625,9.125,75.125,4.49,2.63,1.59,4.09,7.03,17,38,10.33
28,Jonathan Jones,CB,Auburn,22.9,5091,186,121.8,0.4,67.2,Jones,5091,186,30.25,8.75,72.125,4.33,2.5,1.47,4.25,7.25,19,36,10.25
29,Devonte Johnson,CB,Weber State,,5106,180,121.7,0.4,66.6,Johnson,5106,180,,,,4.55,2.64,1.64,4.3,6.93,15,41,11.17
30,Trevor Williams,CB,Penn State,23,5112,191,120.8,0.3,63.6,Williams,5112,191,31,,,4.44,2.6,1.57,4.22,6.8,16,35.5,10.42
31,Tavon Young,CB,Temple,22.5,5091,183,120.8,0.3,63.6,Young,5091,183,30.625,9.125,75.625,4.46,2.6,1.54,3.93,6.8,13,34.5,10.08
32,Jeremiah McKinnon,CB,Florida International,,5110,190,120.6,0.3,62.9,McKinnon,5110,190,,,,4.51,2.63,1.5,4.35,7.08,12,38,10.33
33,C.J. Smith,CB,North Dakota State,23.3,5111,188,120.5,0.3,62.4,Smith,5111,188,30,,,4.57,2.63,1.58,4.31,7,7,39,10.92
34,Winston Rose,CB,New Mexico State,,5112,177,120.4,0.3,62.2,Rose,5112,177,,,,4.47,2.45,1.5,4.22,6.72,10,36,10.25
35,RaChard Pippens,CB,Stanford,,6005,204,120,0.3,60.7,Pippens,6005,204,,,,4.56,2.7,1.58,4.3,,15,35,10.92
36,Kevon Seymour,CB,Southern Cal,22.8,5114,186,119.8,0.2,59.7,Seymour,5114,186,30.75,9,74.625,4.39,2.57,1.55,4.18,6.81,12,35,10.33
37,Ryan Smith,CB,North Carolina Central,23,5110,189,119.1,0.2,57.2,Smith,5110,189,30.5,8.875,73.5,4.47,2.64,1.59,4.09,6.88,18,36,10.17
38,Daryl Worley,CB,West Virginia,21.5,6006,204,118.5,0.1,55,Worley,6006,204,33.375,10.25,80.25,4.61,2.65,1.58,4.15,6.98,14,35.5,10.25
39,Morgan Burns,CB,Kansas State,,5103,200,118.1,0.1,53.2,Burns,5103,200,,,,4.4,2.55,1.55,4.15,6.6,21,32.5,9.58
40,Jordan Batiste,CB,Southeast Louisiana,,5086,181,118,0.1,53,Batiste,5086,181,,,,4.55,2.64,1.57,4.32,7,15,39.5,10.42
41,Bryson Abraham,CB,Louisiana Tech,,5087,183,117.9,0.1,52.4,Abraham,5087,183,,,,4.54,2.58,1.6,4.19,7.04,18,41,10
42,Dylan Chatman,CB,Eastern Illinois,,5104,177,117.6,0,51.3,Chatman,5104,177,,,,4.61,2.56,1.58,4.12,7.08,6,39.5,10.58
43,LeShaun Sims,CB,Southern Utah,,6004,203,117.3,0,50.2,Sims,6004,203,31.625,8.125,74.5,4.53,2.68,1.64,4.19,6.82,11,37,10.25
44,Juston Burris,CB,North Carolina State,23.1,6002,212,117.1,0,49.7,Burris,6002,212,31.5,8.875,76.75,4.53,2.63,1.58,4.4,7.1,19,36.5,10.17
45,Charles Washington,CB,Fresno State,,5102,190,117.1,0,49.7,Washington,5102,190,,,,4.48,2.56,1.58,4.48,7.23,18,41,10.42
46,Duke Thomas,CB,Texas,,5101,184,117,0,49.3,Thomas,5101,184,30,,,4.41,2.57,1.56,4.21,6.73,17,34.5,10.08
47,Eric Rawls,CB,Kentucky State,,6016,195,117,0,49,Rawls,6016,195,,,,4.56,2.63,1.57,4.28,6.89,11,35.5,10.42
48,Makinton Dorleant,CB,Northern Iowa,23.9,5106,177,116.8,0,48.5,Dorleant,5106,177,,,,4.4,2.53,1.53,4.45,7.03,16,39,10.25
49,Corey Tindal,CB,Marshall,,5092,187,116.1,-0.1,45.8,Tindal,5092,187,,,,4.47,2.61,1.49,4.2,6.76,9,34.5,9.67
50,Warren Gatewood,CB,Alcorn State,,5115,185,116.1,-0.1,45.8,Gatewood,5115,185,,,,4.51,2.67,1.61,,,16,36.5,10.58
51,Ken Crawley,CB,Colorado,23.6,6003,187,116.1,-0.1,45.7,Crawley,6003,187,30.5,9,72.625,4.43,2.57,1.53,4.3,6.81,7,36.5,9.92
52,Sean Draper,CB,Iowa,,5106,191,115.7,-0.2,44,Draper,5106,191,,,,4.59,2.65,1.56,4.22,6.65,16,34.5,9.92
53,Robert Porter,CB,Jackson State,,5096,186,115.6,-0.2,43.7,Porter,5096,186,,,,4.48,2.58,1.59,4.1,7,22,36,9.92
54,Mackensie Alexander,CB,Clemson,22.8,5103,190,115.3,-0.2,42.4,Alexander,5103,190,31.375,9.125,75.5,4.49,2.63,1.56,4.21,7.18,11,37.5,10.08
55,Asante Gibson,CB,Harvard,,5081,203,115.2,-0.2,42,Gibson,5081,203,,,,4.54,2.65,1.6,4.42,7.08,27,38.5,9.83
56,Trey Caldwell,CB,Louisiana-Monroe,22.7,5087,188,114.9,-0.2,41.2,Caldwell,5087,188,,,,4.51,2.52,1.5,4.19,6.6,12,33.5,9.5
57,LaMarcus Farmer,CB,Troy,,5096,177,114.9,-0.2,41.1,Farmer,5096,177,,,,4.55,2.63,1.53,4.2,6.77,12,34.5,10.17
58,Cranston Jones,CB,New Mexico,,5081,166,114.9,-0.2,41,Jones,5081,166,,,,4.42,2.49,1.43,4.34,6.72,,35,9.67
