#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Skyler Suggs,EDGE,Lindenwood,,6023,268,138.7,1.4,92.3,Suggs,6023,268,,,,4.49,,1.55,4.17,7.06,8,34.6,10
2,Trent Corney,EDGE,Virginia,,6031,251,137.6,1.4,91.2,Corney,6031,251,,,,4.68,2.7,1.62,4.34,7,34,38,10.5
3,Leonard Floyd,EDGE,Georgia,24,6055,244,137.5,1.3,91,Floyd,6055,244,33.125,10.125,80.625,4.6,2.68,1.59,4.32,7.18,,39.5,10.58
4,Charles Tapper,EDGE,Oklahoma,23.3,6025,271,133.7,1.1,85.4,Tapper,6025,271,34.375,11.5,81.875,4.59,2.68,1.59,,,23,34,9.92
5,Emmanuel Ogbah,EDGE,Oklahoma State,22.8,6042,273,131.8,0.9,82,Ogbah,6042,273,35.5,10,83.875,4.63,2.68,1.58,4.5,7.26,20,35.5,10.08
6,Joey Bosa,EDGE,Ohio State,21.1,6052,269,131.1,0.9,80.5,Bosa,6052,269,33.375,10.25,79.75,4.77,2.75,1.65,4.21,6.89,28,32,10.08
7,Shaq Lawson,EDGE,Clemson,22.2,6025,269,130.5,0.8,79.3,Lawson,6025,269,32.75,10,81.125,4.7,2.75,1.63,4.21,7.16,,33,10
8,Shiro Davis,EDGE,Texas,,6027,267,129.7,0.8,77.6,Davis,6027,267,,,,4.73,2.73,1.64,4.46,7.22,29,34.5,10.42
9,Alex McCalister,EDGE,Florida,22.9,6061,239,129.4,0.7,76.8,McCalister,6061,239,36,9.375,86.25,4.8,2.78,1.68,4,7.01,,34.5,10.67
10,Tautvydas Kieras,EDGE,Mississippi State,,6034,271,125.7,0.5,67.5,Kieras,6034,271,34.5,10,76,4.69,,1.61,4.52,7.19,24,35,9.67
11,Stephen Weatherly,EDGE,Vanderbilt,22.5,6043,267,125.3,0.4,66.4,Weatherly,6043,267,34.5,10.25,83.25,4.61,2.67,1.59,4.42,7.07,23,31,9.75
12,Dean Lowry,EDGE,Northwestern,22.2,6056,296,123.9,0.3,62.6,Lowry,6056,296,31,9.375,76.125,4.87,2.81,1.69,4.38,7.26,30,32.5,9.5
13,Jason Fanaika,EDGE,Utah,24.2,6016,271,122.6,0.2,58.7,Fanaika,6016,271,32.625,9.875,78,4.86,2.82,1.67,4.39,7.06,29,35.5,9.42
14,Noah Spence,EDGE,Eastern Kentucky,22.6,6024,251,122.4,0.2,58.3,Spence,6024,251,33,10.75,79.75,4.8,2.75,1.61,4.35,7.21,25,35,10.08
15,Adam Brandt,EDGE,Southern Illinois,,6040,245,121.2,0.1,54.8,Brandt,6040,245,,,,4.83,2.69,1.51,4.41,6.94,25,35.5,9.42
16,James Cowser,EDGE,Southern Utah,26,6031,248,121.2,0.1,54.7,Cowser,6031,248,32.875,10.25,79,4.73,2.74,1.68,4.31,6.8,24,34,9.67
17,Jonathan Woodard,EDGE,Central Arkansas,23,6047,271,120.8,0.1,53.4,Woodard,6047,271,,,,4.89,2.76,1.69,4.4,7.08,28,34,9.75
18,Jason Neill,EDGE,Texas-San Antonio,,6020,266,120.3,0,52,Neill,6020,266,,,,4.71,2.77,1.67,4.35,7.07,31,30.5,9.58
19,Farrington Huguenin,EDGE,Kentucky,,6036,271,119.7,0,50.1,Huguenin,6036,271,,,,4.87,2.84,1.7,4.46,7.31,25,34,10.17
20,Shawn Oakman,EDGE,Baylor,24.4,6075,287,119.5,0,49.7,Oakman,6075,287,35.75,10.625,84.75,4.85,2.67,1.66,4.56,7.53,23,32,10.25
21,Jack Gangwish,EDGE,Nebraska,,6025,272,119.2,0,48.6,Gangwish,6025,272,,,,4.83,2.73,1.7,4.31,7.12,30,31,9.67
22,Ronald Blair,EDGE,Appalachian State,23.6,6021,284,119.1,0,48.5,Blair,6021,284,34,10.25,80.75,4.85,2.81,1.63,4.53,7.95,32,33.5,9.92
23,Eddie Yarbrough,EDGE,Wyoming,,6024,259,119,0,48.2,Yarbrough,6024,259,,,,4.8,2.78,1.63,4.41,7.04,28,32.5,9.67
24,Shilique Calhoun,EDGE,Michigan State,24.5,6043,251,119,0,48.2,Calhoun,6043,251,34.25,9.875,82.25,4.82,2.8,1.68,4.25,6.97,23,35,9.58
25,Bronson Kaufusi,EDGE,BYU,25.2,6064,285,118.4,-0.1,46.3,Kaufusi,6064,285,34.5,9.75,80,4.87,2.84,1.69,4.25,7.03,25,30,9.25
26,Kyle Kragen,EDGE,California,,6022,248,118,-0.1,45,Kragen,6022,248,,,,4.85,2.81,1.69,4.25,7.07,23,37,9.5
27,Bryson Albright,EDGE,Miami (OH),,6054,239,116.4,-0.2,40.3,Albright,6054,239,,,,4.89,2.76,1.66,4.25,6.87,18,33,10.08
28,Theiren Cochran,EDGE,Minnesota,,6047,247,116,-0.3,39.2,Cochran,6047,247,,,,4.82,2.77,1.67,4.45,7.4,22,37,10.08
29,Roy Robertson-Harris,EDGE,UTEP,23.1,6053,256,115.8,-0.3,38.9,Robertson-Harris,6053,256,,,,4.84,2.77,1.77,4.26,7.31,23,35,9.92
30,Drew Iddings,EDGE,South Dakota,,6053,290,115.6,-0.3,38.3,Iddings,6053,290,,,,4.75,2.75,1.62,4.64,7.78,20,32.5,9.67
31,Caleb Azubike,EDGE,Vanderbilt,,6041,250,115,-0.3,36.5,Azubike,6041,250,,,,4.95,2.81,1.71,4.32,6.94,16,33,10.42
32,Jonathan Bullard,EDGE,Florida,22.9,6030,285,114.8,-0.4,35.9,Bullard,6030,285,33.625,10,81.25,4.93,2.82,1.65,4.56,7.31,23,32,9.67
33,Graham Rowley,EDGE,BYU,,6032,277,114.8,-0.4,35.9,Rowley,6032,277,,,,4.81,2.75,1.64,4.44,7.34,27,31.5,9.25
34,Mike Rose,EDGE,North Carolina State,,6024,261,114.4,-0.4,34.8,Rose,6024,261,,,,4.67,2.69,1.66,4.46,7.47,17,33.5,9.67
35,Matt Judon,EDGE,Grand Valley State,24,6030,275,114.4,-0.4,34.7,Judon,6030,275,33.875,9.5,80.875,4.73,2.75,1.65,4.52,7.67,30,35,9.08
36,Terrell Williams,EDGE,Youngstown State,,6016,241,114.3,-0.4,34.5,Williams,6016,241,,,,4.68,2.6,1.6,4.43,7.8,31,30.5,10.5
37,Jarrell McKinney,EDGE,Western Michigan,,6041,248,113.5,-0.5,32.2,McKinney,6041,248,,,,4.68,2.78,1.65,4.51,7.34,,32,10.08
38,Terrell Lathan,EDGE,TCU,,6035,292,113.3,-0.5,31.7,Lathan,6035,292,,,,4.92,2.84,1.75,4.51,7.34,18,31.5,9.83
39,Carl Nassib,EDGE,Penn State,23.4,6067,277,113.2,-0.5,31.4,Nassib,6067,277,34.5,10.375,82.875,4.84,2.77,1.62,4.37,7.27,21,28.5,9.5
40,Brennan Scarlett,EDGE,Stanford,23.1,6040,269,112.8,-0.5,30.4,Scarlett,6040,269,,,,4.76,2.84,1.63,4.64,7.28,25,31.5,9.58
41,Karmah Yates,EDGE,East Central,,6010,260,112.6,-0.5,30,Yates,6010,260,,,,4.8,2.78,1.68,4.51,7.25,25,32.5,9.75
42,Mike Keck,EDGE,North Carolina-Pembroke,,6027,263,112.5,-0.5,29.6,Keck,6027,263,,,,4.82,2.76,1.64,4.4,7.08,28,30.5,9.25
43,Morgan Fox,EDGE,Colorado State-Pueblo,22,6033,263,112.4,-0.5,29.5,Fox,6033,263,,,,4.89,,,4.36,7.44,23,35,9.58
44,Branden Jackson,EDGE,Texas Tech,23.8,6037,273,112.1,-0.6,28.6,Jackson,6037,273,33.375,10.25,80.75,4.87,2.85,1.67,4.5,7.09,20,31.5,9.42
45,Mason Harris,EDGE,South Carolina,,6025,232,112,-0.6,28.4,Harris,6025,232,,,,4.76,2.69,1.66,,,18,34.5,10.08
46,Ufomba Kamalu,EDGE,Miami,23.8,6051,295,111.4,-0.6,26.8,Kamalu,6051,295,35,10,84.5,4.88,2.79,1.65,4.58,7.32,26,31.5,8.83
47,Anthony Zettel,EDGE,Penn State,24.1,6037,277,111.2,-0.6,26.3,Zettel,6037,277,31.125,9.5,76.25,4.81,2.78,1.65,4.39,7.63,28,30.5,9.33
48,Justin Evans,EDGE,Delta State,,6035,241,110.9,-0.6,25.8,Evans,6035,241,,,,4.79,2.82,1.69,4.62,7.28,12,36.5,10.25
49,Rondell McNair,EDGE,Boise State,,6023,244,110.4,-0.7,24.4,McNair,6023,244,,,,4.89,2.84,1.7,4.59,7.52,21,37.5,
50,Keenen Gibbs,EDGE,Toledo,,6023,267,110.2,-0.7,23.9,Gibbs,6023,267,,,,4.93,2.8,1.72,4.52,7.39,24,35.5,9.58
51,Shaneil Jenkins,EDGE,Shepherd,,6027,281,109.9,-0.7,23.4,Jenkins,6027,281,,,,4.84,2.75,1.65,4.54,7.25,,30,
52,Romeo Okwara,EDGE,Notre Dame,21.2,6045,265,109.6,-0.8,22.6,Okwara,6045,265,34.125,10.125,84.375,4.9,2.89,1.73,4.53,7.38,23,33,10
53,Lawrence Thomas,EDGE,Michigan State,23.4,6034,286,109.2,-0.8,21.8,Thomas,6034,286,33.25,10.125,79.875,4.98,2.87,1.73,4.58,7.53,24,35,9.42
54,Zack Shaw,EDGE,Indiana,,6021,259,108.9,-0.8,21.1,Shaw,6021,259,,,,4.82,2.75,1.76,4.53,7.27,28,33,9.67
55,Lenny Jones,EDGE,Nevada,25.1,6023,256,108.3,-0.9,19.8,Jones,6023,256,,,,4.86,2.8,1.66,4.36,7.18,22,31.5,9.33
56,Teddy Corwin,EDGE,Illinois State,,6045,268,108.2,-0.9,19.7,Corwin,6045,268,,,,4.86,2.7,1.65,4.4,7.04,,29,9.08
57,DeForest Buckner,EDGE,Oregon,22.5,6070,291,108.2,-0.9,19.7,Buckner,6070,291,34.375,11.75,82,5.05,2.96,1.77,4.47,7.51,21,32,9.67
58,Toba Akinleye,EDGE,Columbia,,6022,247,108.2,-0.9,19.6,Akinleye,6022,247,,,,4.99,2.82,1.75,4.47,7.28,23,35,10.33
59,Kevin Dodd,EDGE,Clemson,24.1,6050,277,108,-0.9,19.2,Dodd,6050,277,34,10,81.625,4.86,2.84,1.69,4.44,7.32,22,30.5,9.17
60,Josh Dawson,EDGE,Georgia,,6037,263,107.8,-0.9,18.9,Dawson,6037,263,,,,4.82,2.83,1.65,4.57,7.35,21,33,9.33
61,Ben Crompton,EDGE,Northern Illinois,,6030,270,107.6,-0.9,18.3,Crompton,6030,270,,,,4.83,2.85,1.69,4.53,7.52,29,31.5,9.42
62,Sonny Sanitoa,EDGE,UNLV,,6034,255,107.5,-0.9,18.2,Sanitoa,6034,255,,,,4.92,,,4.62,7.29,26,34,10
63,Giorgio Newberry,EDGE,Florida State,24.8,6054,285,107.2,-0.9,17.6,Newberry,6054,285,34,9.5,83,4.89,2.87,1.7,4.66,7.34,21,30.5,9.5
64,Reggie Gilbert,EDGE,Arizona,,6027,261,106.8,-1,16.9,Gilbert,6027,261,,,,4.88,2.79,1.72,4.53,7.31,24,33.5,9.5
65,Alstevis Squirewell,EDGE,Newberry,,5117,265,106.5,-1,16.2,Squirewell,5117,265,,,,4.98,2.82,1.72,4.43,7.58,23,34,9.75
66,Darryl Paulo,EDGE,Washington State,,6020,256,106.1,-1,15.5,Paulo,6020,256,,,,5.02,2.94,1.8,4.42,7.1,24,33,9.83
67,T.J. Semke,EDGE,Kansas,,6015,250,105.9,-1,15.2,Semke,6015,250,,,,4.96,2.86,1.71,4.38,7,37,32,9.17
68,Miles Grooms,EDGE,Hampton,,6027,251,105.7,-1,14.9,Grooms,6027,251,,,,4.89,2.85,1.66,4.52,7.32,25,29,10.25
69,Anthony Lanier,EDGE,Alabama A&M,,6047,267,104.8,-1.1,13.3,Lanier,6047,267,,,,4.82,2.75,1.68,4.46,7.51,16,28,9.92
70,Dame Ndiaye,EDGE,Portland State,,6027,245,104.6,-1.1,13,Ndiaye,6027,245,,,,4.88,2.79,1.7,4.58,7.86,27,35.5,10.08
71,Jake Payne,EDGE,Shenandoah,,6035,266,104.5,-1.1,12.9,Payne,6035,266,,,,4.98,2.81,1.7,4.64,7.53,26,35.5,9.5
72,Keymiya Harrell,EDGE,Auburn,,6042,266,102.9,-1.3,10.5,Harrell,6042,266,,,,4.88,2.78,1.65,4.48,7.47,20,30.5,9.25
73,Mehdi Abdesmad,EDGE,Boston College,24.9,6062,284,102.7,-1.3,10.2,Abdesmad,6062,284,33.375,9.75,81.25,5.1,2.92,1.73,4.57,7.43,25,30,9.58
74,Derek Floyd,EDGE,Central Arkansas,,6014,244,102.6,-1.3,10.1,Floyd,6014,244,,,,4.97,2.85,1.7,4.43,7.13,21,33,9.5
75,Silverberry Mouhon,EDGE,Cincinnati,,6031,261,102.5,-1.3,10,Mouhon,6031,261,,,,4.86,2.84,1.65,4.62,7.49,27,31,9.42
76,Michael Wakefield,EDGE,Florida International,,6015,257,102.5,-1.3,9.9,Wakefield,6015,257,,,,4.95,2.87,1.7,4.38,7.42,16,31,9.75
77,Alex Hansen,EDGE,Air Force,,6027,232,101.7,-1.3,9,Hansen,6027,232,,,,4.92,,1.7,4.52,7.19,17,36,9.42
78,Cody Fulleton,EDGE,Dartmouth,,6014,280,101.4,-1.4,8.6,Fulleton,6014,280,,,,4.94,2.77,1.69,4.53,7.67,38,30,8.92
79,Ishaq Williams,EDGE,Notre Dame,23.5,6041,253,101.1,-1.4,8.3,Williams,6041,253,,,,4.92,2.9,1.79,4.45,7.51,25,31,10
80,Eric Lee,EDGE,South Florida,,6032,254,100.7,-1.4,7.8,Lee,6032,254,,,,4.72,2.71,1.6,4.82,7.41,24,26.5,9.75
81,Aaron Ahner,EDGE,Louisville,,6023,272,100.5,-1.4,7.6,Ahner,6023,272,,,,4.91,2.81,1.78,4.75,7.13,26,28,9.58
82,Sterling Bailey,EDGE,Georgia,24,6040,285,99.9,-1.5,7,Bailey,6040,285,33.375,10.25,81.125,5.03,2.87,1.72,4.64,7.39,20,30.5,9.25
83,Reggie Paris,EDGE,Villanova,,6031,250,99.9,-1.5,7,Paris,6031,250,,,,4.89,2.84,1.68,4.72,7.48,24,32.5,9.75
84,Mike Moore,EDGE,Virginia,,6032,269,99.7,-1.5,6.8,Moore,6032,269,,,,4.92,2.82,1.72,4.47,7.6,28,29,9.42
85,Chris Landrum,EDGE,Jacksonville State,24,6021,245,99.6,-1.5,6.7,Landrum,6021,245,,,,4.79,2.68,1.65,4.62,7.29,17,31,9.42
86,Mike Tuaua,EDGE,TCU,,6014,254,99.5,-1.5,6.6,Tuaua,6014,254,,,,4.91,2.75,1.65,4.39,7.06,,29.5,8.75
87,Channing Ward,EDGE,Mississippi,,6033,288,99.5,-1.5,6.6,Ward,6033,288,,,,4.76,2.79,1.71,4.59,7.46,,26.5,8.75
88,Allen Covington,EDGE,Toledo,,6002,263,99.5,-1.5,6.6,Covington,6002,263,,,,4.98,2.83,1.8,4.38,7.15,15,31,9.25
89,Keenan Brown,EDGE,Langston,,6041,268,97.4,-1.7,4.8,Brown,6041,268,,,,5.17,2.9,1.66,4.77,7.63,,30,9.92
90,Rykeem Yates Coming off,EDGE,Nevada,,6015,273,97.4,-1.7,4.8,Yates Coming off,6015,273,,,,4.99,2.85,1.75,4.49,7.47,33,27.5,9.33
91,Ryan Aelker,EDGE,Bluffton,,6032,257,97.3,-1.7,4.7,Aelker,6032,257,,,,5,2.88,1.72,4.51,7.27,25,29.5,9.5
92,Greg Townsend Jr.,EDGE,Southern Cal,,6024,258,97.1,-1.7,4.5,Townsend Jr.,6024,258,,,,4.86,2.93,1.69,4.55,7.5,19,31.5,9.08
93,Andrew McCleneghen,EDGE,SMU,,6044,258,96.9,-1.7,4.4,McCleneghen,6044,258,,,,4.9,2.8,1.7,4.62,7.49,21,33,9.08
94,Clay Miller,EDGE,Kent State,,6034,271,96.7,-1.7,4.3,Miller,6034,271,,,,4.91,2.75,1.72,4.65,7.53,18,31,9.25
95,Will Anthony,EDGE,Navy,,6003,254,96.5,-1.7,4.2,Anthony,6003,254,,,,5.05,2.89,1.71,4.38,7.08,22,31,8.83
96,John Sheehy,EDGE,West Texas A&M,,6046,253,96.1,-1.8,3.9,Sheehy,6046,253,,,,4.89,2.9,1.71,4.57,7.72,23,31.5,9.58
97,Blake Serpa,EDGE,Central Michigan,,6023,247,96.1,-1.8,3.9,Serpa,6023,247,,,,4.86,2.81,1.82,4.45,7.2,25,30,9.17
98,Siaosi Halaapiapi,EDGE,Wyoming,,6010,262,95.8,-1.8,3.7,Halaapiapi,6010,262,,,,5.1,2.94,1.69,4.68,7.1,,29.5,9.25
99,TJ Jenkins,EDGE,Jacksonville,,6033,263,95.1,-1.8,3.3,Jenkins,6033,263,,,,5.01,2.81,1.7,4.67,7.52,18,32,9.42
100,Martavius Foster,EDGE,Colorado State,,6034,258,95,-1.8,3.3,Foster,6034,258,,,,4.89,2.88,1.82,4.57,7.34,24,33,8.75
101,Armonze Daniel,EDGE,Marshall,,6027,250,95,-1.8,3.3,Daniel,6027,250,,,,4.87,2.85,1.6,4.67,7.41,19,30.5,9.08
102,Tyler Horn,EDGE,Boise State,,6046,255,94.7,-1.9,3.1,Horn,6046,255,,,,4.96,2.87,1.77,4.5,7.33,20,31,9.25
103,Tom Lally,EDGE,Mount Union,,6010,255,94.5,-1.9,3,Lally,6010,255,,,,5.12,2.85,1.66,4.68,7.24,18,,9.33
104,Kenny Nelson,EDGE,Illinois,,6051,238,93.8,-1.9,2.6,Nelson,6051,238,,,,4.9,2.81,1.74,4.51,7.43,15,32.5,9.42
105,Tyler McCullen,EDGE,Wabash,,6044,258,93.1,-2,2.3,McCullen,6044,258,,,,5.02,2.86,1.87,4.58,7.63,21,32.5,9.67
106,Chris Lee,EDGE,New Mexico,,6007,262,92.5,-2,2.1,Lee,6007,262,,,,4.99,2.89,1.69,4.47,7.2,15,31,8.42
107,Ben Goodman Jr.,EDGE,Kansas,,6030,256,92.2,-2.1,2,Goodman Jr.,6030,256,,,,4.99,2.83,1.69,4.53,7.18,14,30,8.92
108,Thomas Niles,EDGE,Central Florida,,6013,260,91.9,-2.1,1.9,Niles,6013,260,,,,4.9,2.86,1.67,4.63,7.76,28,29.5,9
109,Ron Thompson,EDGE,Syracuse,23.1,6030,253,91.7,-2.1,1.8,Thompson,6030,253,32.25,9.375,77.875,4.92,2.82,1.69,4.5,7.15,18,,8.83
110,Louis Palmer,EDGE,Central Michigan,,6010,269,91.4,-2.1,1.7,Palmer,6010,269,,,,5.03,2.87,1.81,4.53,7.11,21,28,8.83
111,Iosia Iosia,EDGE,West Texas A&M,,6052,297,91.2,-2.1,1.7,Iosia,6052,297,,,,5.12,2.9,1.86,4.98,7.72,16,31,9
112,Lorenzo Jackson,EDGE,Louisiana-Monroe,,6015,254,91,-2.1,1.6,Jackson,6015,254,,,,5.12,2.94,1.85,4.57,7.19,15,33.5,9
113,Royce LaFrance,EDGE,Tulane,,6031,258,90.7,-2.2,1.5,LaFrance,6031,258,,,,5,2.82,1.71,4.6,7.32,16,29.5,9.17
114,D.J. Pettway,EDGE,Alabama,24,6021,265,90.6,-2.2,1.5,Pettway,6021,265,32.25,9.5,78.5,4.93,2.79,1.67,4.66,7.74,18,29,9.17
115,Cavin Murray,EDGE,Bowie State,,6017,254,90.6,-2.2,1.5,Murray,6017,254,,,,5.04,,,4.65,7.58,18,34.5,9.17
