#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Andrew Zeller,OG,Maryland,,6051,297,133.2,2.5,99.4,Zeller,6051,297,,,,5.01,2.79,1.68,4.43,7.21,19,34,9.67
2,George Fant,OT,Western Kentucky,24.1,6047,296,129.1,1.9,97,Fant,6047,296,,,,4.84,2.82,1.77,4.54,7.2,22,37,9.92
3,Anthony Fabiano,OG,Harvard,23.1,6036,303,125.1,1.8,96.7,Fabiano,6036,303,,,,5.04,2.78,1.68,4.42,7.41,25,32.5,9
4,Lucas Patrick,OG,Duke,,6034,313,122.6,1.6,95,Patrick,6034,313,,,,5.26,2.74,1.6,4.66,7.77,29,29,8.83
5,Bruce Johnson,OC,Maine,,6024,302,122.8,1.6,94.6,Johnson,6024,302,,,,5.2,2.98,1.68,4.56,7.48,27,32,9.17
6,Oni Omoile,OG,Iowa State,,6022,310,120.6,1.5,93,Omoile,6022,310,,,,4.93,2.78,1.69,4.54,7.81,21,33,9.25
7,Jason Spriggs,OT,Indiana,22.3,6055,301,122.6,1.4,91.7,Spriggs,6055,301,34.125,10.125,81.325,4.94,2.9,1.76,4.44,7.57,31,35,9.58
8,Vi Teofilo,OG,Arizona State,,6033,325,119,1.3,91.1,Teofilo,6033,325,,,,5.22,2.96,1.77,4.7,7.69,43,29.5,9.67
9,Connor McGovern,OG,Missouri,23.3,6042,306,117.9,1.3,89.6,McGovern,6042,306,32.875,10.375,79.5,5.11,2.93,1.73,4.65,7.5,33,33,9.08
10,Sebastian Johansson,OG,Marshall,,6037,293,117.5,1.2,88.8,Johansson,6037,293,,,,5.06,3.01,1.77,4.51,7.27,26,32.5,9.42
11,Jake Brendel,OC,UCLA,24,6041,303,116.6,1.1,86.1,Brendel,6041,303,31.625,9,76.625,5.01,2.89,1.72,4.27,7.31,25,28,9
12,Joe Thuney,OG,North Carolina State,23.8,6045,304,114.8,1,84.1,Thuney,6045,304,32.25,9.625,79,4.95,2.84,1.71,4.54,7.47,28,28.5,9.17
13,Jarell Broxton,OG,Baylor,,6037,327,113.1,0.9,80.5,Broxton,6037,327,,,,5.15,2.85,1.76,4.76,7.65,18,30,9.5
14,Halapoulivaati Vaitai,OT,TCU,23.2,6060,320,115.6,0.9,80.4,Vaitai,6060,320,34.25,10.625,83,5.26,3.05,1.79,4.56,7.69,27,32,9.42
15,Terran Vaughn,OG,Stephen F. Austin,,6025,300,112.6,0.8,79.4,Vaughn,6025,300,,,,5.11,2.94,1.72,4.72,7.89,17,32.5,9.58
16,Spencer Pulley,OC,Vanderbilt,23.4,6040,301,113,0.8,78.5,Pulley,6040,301,,,,5.1,2.96,1.75,4.48,7.39,28,28.5,9.33
17,Brandon Shell,OT,South Carolina,24.6,6053,324,114.6,0.8,78.3,Shell,6053,324,34.75,10.75,84.5,5.22,2.92,1.75,4.62,7.62,22,30.5,9.33
