#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,David Watford,QB,Hampton,23.2,6015,210,129,1.8,96.6,Watford,6015,210,,,,4.56,2.62,1.59,4.35,6.99,28,38,10.58
2,Kyle Washington,QB,Angelo State,,6057,220,122.2,1.4,92.5,Washington,6057,220,,,,4.67,2.72,1.7,4.36,6.97,,38.5,10.58
3,Jalen Whitlow,QB,Eastern Illinois,,6015,221,118,1.2,88.4,Whitlow,6015,221,,,,4.64,2.64,1.57,4.38,7.33,,37,10.17
4,Cardale Jones,QB,Ohio State,23.9,6050,253,117.6,1.2,87.9,Jones,6050,253,33.75,9.75,80.5,4.81,2.78,1.67,,,,36,
5,Jeff Driskel,QB,Louisiana Tech,23.4,6040,234,117.4,1.2,87.7,Driskel,6040,234,33.5,9.75,77.75,4.56,2.71,1.65,4.25,7.19,,32,10.17
6,Steven Bench,QB,South Florida,,6010,206,117.2,1.1,87.4,Bench,6010,206,,,,4.63,2.73,1.6,4.31,6.96,,35.5,10.17
7,Matt Shiltz,QB,Butler,,6020,197,116.9,1.1,87,Shiltz,6020,197,,,,4.61,2.65,1.53,4.25,7.15,,36,10.08
8,John Robertson,QB,Villanova,,6014,215,116.4,1.1,86.5,Robertson,6014,215,,,,4.72,2.7,1.62,4.22,7.25,21,36,10.17
9,Paxton Lynch,QB,Memphis,22.6,6065,244,113.1,0.9,81.7,Lynch,6065,244,34.25,10.25,81.75,4.86,2.81,1.69,4.26,7.14,,36,9.83
10,Carson Wentz,QB,North Dakota State,23.7,6052,237,112.9,0.9,81.4,Wentz,6052,237,33.25,10,78.75,4.77,2.75,1.65,4.15,6.86,,30.5,9.83
11,Jeremy Johnson,QB,Charleston (WV),,6002,197,111.4,0.8,79,Johnson,6002,197,,,,4.54,2.65,1.59,4.26,7.26,18,34.5,9.83
12,Arsenio Favor,QB,Arkansas Tech,,6025,225,111.2,0.8,78.7,Favor,6025,225,,,,4.73,2.66,1.64,4.43,7.44,22,35,10.33
13,Derrius Vick,QB,Ohio,,6015,192,109,0.7,74.9,Vick,6015,192,,,,4.63,2.64,1.57,4.32,6.74,,32,9.83
