#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,D.J. Hunter,FS,Marshall,,5111,205,140.6,2.3,99.1,Hunter,5111,205,,,,4.38,2.56,1.45,4.2,6.88,14,39.5,10.83
2,Justin Simmons,FS,Boston College,22.8,6023,202,138.7,2.2,98.4,Simmons,6023,202,32.625,9.625,77.875,4.53,2.62,1.56,3.85,6.58,16,40,10.5
3,A.J. Hendy,FS,Maryland,23.4,6005,208,138.1,2.1,98.2,Hendy,6005,208,,,,4.56,2.58,1.53,4.16,7.03,16,40.5,11.25
4,Jordan Lucas,SS,Penn State,23.1,5115,201,135.7,1.6,94.7,Lucas,5115,201,30.125,10,74.875,4.45,2.56,1.52,4.19,6.7,,38.5,10.83
5,Junior Lee,SS,Connecticut,,6002,212,134.9,1.5,93.8,Lee,6002,212,,,,4.5,2.59,1.53,4.06,6.75,19,37,10.5
6,Kamu Grugier-Hill,SS,Eastern Illinois,22.3,6021,208,134.3,1.5,93,Grugier-Hill,6021,208,,,,4.45,2.53,1.52,4.2,6.89,15,38.5,10.75
7,Sharrod Neasman,SS,Florida Atlantic,24.9,5112,206,132.9,1.3,91,Neasman,5112,206,,,,4.68,2.62,1.55,4.03,6.78,25,37,10.67
8,Cheatham Norrils,SS,Toledo,,5106,191,132,1.3,89.6,Norrils,5106,191,,,,4.6,2.6,1.6,4.2,6.62,20,40.5,11.08
9,Doug Middleton,FS,Appalachian State,22.9,5116,209,129.3,1.2,88.8,Middleton,5116,209,,,,4.5,2.55,1.56,4.38,6.93,18,38.5,10.92
10,Miles Killebrew,SS,Southern Utah,23.3,6017,217,131,1.2,87.8,Killebrew,6017,217,32.125,9.5,76.125,4.51,2.63,1.58,4.18,6.93,22,38,10.58
11,Shakiel Randolph,FS,SMU,,6034,213,128.2,1.1,86.5,Randolph,6034,213,,,,4.61,2.66,1.58,4.4,7.12,16,42,10.83
12,Deon Bush,FS,Miami,23,6003,199,126.6,0.9,82.7,Bush,6003,199,30.875,9.25,75.125,4.55,2.62,1.56,,6.91,17,39.5,10.33
13,Peni Vea,SS,UNLV,,6012,206,126.9,0.8,78.3,Vea,6012,206,,,,4.46,,,4.29,6.68,19,39,9.92
14,Keanu Neal,SS,Florida,21.1,6004,211,126.7,0.8,77.6,Neal,6004,211,32.75,10.625,78.375,4.62,2.6,1.6,4.2,7.09,17,38,11
15,T.J. Green,FS,Clemson,21.5,6024,209,124.7,0.8,77.4,Green,6024,209,32,9.625,77.375,4.34,2.52,1.52,4.41,7.1,13,35.5,10.75
16,Kavon Frazier,FS,Central Michigan,22.1,5117,217,124.3,0.7,76.3,Frazier,5117,217,32.25,9,78.125,4.58,2.66,1.65,4.4,6.88,18,40.5,10.67
17,Marwin Evans,SS,Utah State,23.4,5114,211,125.9,0.7,75.4,Evans,5114,211,,,,4.47,2.59,1.57,4.27,7.26,19,42,10.08
18,Kentrell Brice,SS,Louisiana Tech,22.1,5114,200,124.8,0.6,71.9,Brice,5114,200,,,,4.44,2.53,1.56,4.4,7.66,21,42,11.08
19,Qujuan Floyd,SS,Iowa State,,5112,195,123.3,0.4,66.9,Floyd,5112,195,,,,4.51,2.57,1.55,4.38,7.15,,39.5,10.75
20,Jamal Marshall,FS,North Texas,,6015,210,121.5,0.4,66.6,Marshall,6015,210,,,,4.53,2.56,1.6,4.31,6.77,10,38,10.25
21,Kyrian Obidiegwu,SS,Fresno State,,5097,210,122.6,0.4,64.4,Obidiegwu,5097,210,,,,4.6,2.64,1.59,4.17,7.06,21,37.5,10.25
22,Max Arnold,SS,Tennessee,,5110,195,122.4,0.4,63.7,Arnold,5110,195,,,,4.52,2.58,1.53,4.08,6.83,19,36,9.83
23,Clayton Fejedelem,SS,Illinois,23.2,5117,204,122,0.3,62.6,Fejedelem,5117,204,,,,4.54,2.62,1.57,4.3,7.17,20,40.5,10.08
24,Derrick Kindred,SS,TCU,22.7,5100,207,121.4,0.3,60.4,Kindred,5100,207,31.25,9.375,74.5,4.5,2.62,1.57,4.29,7.05,17,37.5,10.25
25,Deiondre' Hall,FS,Northern Iowa,22.3,6015,199,119.8,0.3,60.4,Hall,6015,199,34.375,9.75,82.75,4.54,2.68,1.62,4.06,7.07,10,37,10.58
26,Jordan Lomax,FS,Iowa,22.9,5097,202,119,0.2,57.1,Lomax,5097,202,32,8.75,76,4.66,2.7,1.61,4.15,6.76,8,38.5,10.08
27,Xavier Walker,FS,Middle Tennessee State,,6030,208,118.5,0.1,55.1,Walker,6030,208,,,,4.64,2.66,1.58,4.24,7.01,17,33.5,10.67
28,Andrew Williamson,SS,Vanderbilt,23.8,6006,208,119.9,0.1,54.8,Williamson,6006,208,,,,4.48,2.65,1.61,4.23,6.81,,35,10.33
29,Chief Brown,SS,Mississippi,,6005,202,119.5,0.1,53.3,Brown,6005,202,,,,4.64,2.72,1.6,4.27,6.84,16,37,10.42
30,Marqui Christian,SS,Midwestern State,21.8,5110,193,119.4,0.1,53,Christian,5110,193,,,,4.54,2.62,1.5,4.27,6.85,14,35.5,10
31,Rocco Scarfone,FS,East Carolina,,5103,185,117.8,0.1,52.4,Scarfone,5103,185,,,,4.55,2.64,1.55,4.2,7.31,15,38.5,10.42
32,Denzel Thompson,FS,Southeast Louisiana,,6040,204,117.5,0,51.4,Thompson,6040,204,,,,4.66,2.65,1.6,4.27,6.97,13,37,10.42
33,Marquis Drayton,FS,Bethune-Cookman,,5117,203,117.1,0,49.7,Drayton,5117,203,,,,4.5,2.59,1.55,4.34,7.13,14,35,10.42
34,Mike Jordan,FS,Missouri Western,23.9,6011,200,117,0,49.4,Jordan,6011,200,,,,4.63,2.72,1.64,4.26,6.87,15,37,10.58
35,Shannon Edwards,FS,Fresno State,,5101,194,117,0,49.2,Edwards,5101,194,,,,4.44,2.55,1.53,4.27,7.27,15,35,10.42
36,Lee Hightower,FS,Houston,,6013,198,116.9,0,48.9,Hightower,6013,198,,,,4.58,2.66,1.6,4.3,7,16,37,10.42
37,Kevin Byard,SS,Middle Tennessee State,,5112,212,117.8,-0.1,46.9,Byard,5112,212,,,,4.46,2.64,1.61,4.15,6.73,22,38,9
38,Cody Culbertson,FS,Ohio Dominican,,5092,188,115.6,-0.2,43.8,Culbertson,5092,188,,,,4.55,2.61,1.51,4.2,6.79,19,35.5,9.42
39,Tyvis Powell,FS,Ohio State,,6026,211,115.6,-0.2,43.6,Powell,6026,211,32.75,9.5,77.375,4.46,2.62,1.59,4.25,7.03,15,34.5,10
40,D.J. Cameron,SS,Southern Illinois,,5117,198,116.8,-0.2,43.3,Cameron,5117,198,,,,4.69,2.56,1.54,4.14,6.82,12,34.5,10
41,Kelvin Fisher Jr.,SS,UTEP,,5103,197,116.8,-0.2,43.1,Fisher Jr.,5103,197,,,,4.62,2.6,1.6,4.26,6.94,,37.5,10.25
42,Stefan McClure,SS,California,,5111,203,115.1,-0.3,36.9,McClure,5111,203,,,,4.66,2.66,1.64,4.17,6.9,17,38,9.92
43,Andrew Adams,FS,Connecticut,23.8,5111,201,113.8,-0.3,36.9,Adams,5111,201,,,,4.54,2.6,1.54,4.32,6.96,24,33,9.83
44,Dallas Jackson,FS,Jacksonville,,5087,187,113.4,-0.4,35.5,Jackson,5087,187,,,,4.56,2.7,1.6,4.33,6.79,13,37.5,10.08
45,Darius Lewis,FS,Northern Arizona,,5,169,113.4,-0.4,35.3,Lewis,5,169,,,,4.66,2.67,1.62,4.25,6.93,10,41,10.5
46,Brian Randolph,SS,Tennessee,23.9,5114,204,114.1,-0.4,33.5,Randolph,5114,204,,,,4.51,2.59,1.56,4.26,6.97,31,33,9.58
47,John Boston,FS,Florida A&M,,5104,188,112.7,-0.4,32.8,Boston,5104,188,,,,4.68,2.59,1.5,4.19,7.12,14,32.5,10.25
48,Raymone Wiggins,SS,South Alabama,,6011,201,113.9,-0.4,32.8,Wiggins,6011,201,,,,4.6,2.75,1.63,4.3,7.19,19,38.75,10.17
49,Davyon McKinney,FS,Arkansas,,6010,201,112.5,-0.5,31.8,McKinney,6010,201,,,,4.56,2.69,1.67,4.35,7.01,9,36.5,10.83
50,Antonio Glover,SS,Georgia Southern,,6004,184,112.9,-0.5,29.4,Glover,6004,184,,,,4.64,2.65,1.55,4.2,7.61,16,37.5,10.58
51,Jarrod Wilson,FS,Michigan,22.6,6012,209,111.3,-0.6,27.8,Wilson,6012,209,,,,4.55,2.58,1.6,4.43,7,17,36,9.83
52,Tevin Carter,SS,Utah,24,6012,218,112.3,-0.6,27.6,Carter,6012,218,32,9.25,77.25,4.54,2.65,1.6,4.44,7.23,19,34,10.33
53,Jephete Matilus,SS,Florida International,,5104,216,112,-0.6,26.6,Matilus,5104,216,,,,4.69,2.7,1.57,4.27,7.25,11,36,9.83
54,Dexter Walker,SS,Air Force,,5100,206,112,-0.6,26.4,Walker,5100,206,,,,4.65,,1.65,4.25,6.8,14,38.5,9.58
55,Taj Letman,SS,Marshall,,6014,193,111.9,-0.6,26.3,Letman,6014,193,,,,4.51,2.62,1.55,4.3,7,14,34.5,9.92
56,Michael Mudoh,SS,Tulsa,,5086,195,111.6,-0.7,25.2,Mudoh,5086,195,,,,4.52,2.66,1.63,4.22,7.04,22,32.5,10.5
57,Alex Kocheff,SS,Mount Union,,5091,202,111.6,-0.7,25.2,Kocheff,5091,202,,,,4.63,2.56,1.58,4.45,7.06,15,,10.17
58,Troy Donahue,SS,Dartmouth,,6010,202,111.6,-0.7,25.2,Donahue,6010,202,,,,4.6,2.55,1.71,,,19,38,10.5
59,Elijah Shumate,SS,Notre Dame,22.6,5116,216,111.5,-0.7,24.9,Shumate,5116,216,31.125,9.75,75.5,4.58,2.69,1.62,4.2,7.06,18,33,9.92
60,Aaron Macer,SS,Ohio,,6000,195,111,-0.7,23.5,Macer,6000,195,,,,4.58,2.65,1.62,4.38,7.38,24,37,10.5
61,DeQuinten Spraggins,FS,Murray State,,6005,181,109.8,-0.7,22.9,Spraggins,6005,181,,,,4.54,2.52,1.62,4.27,7.03,10,35,10.67
62,Brian Clay,SS,Washington,,6007,203,110.7,-0.7,22.7,Clay,6007,203,,,,4.7,2.71,1.63,4.33,7.05,12,38,10.08
63,T.J. Gurley,SS,South Carolina,,5096,199,109.8,-0.8,20.1,Gurley,5096,199,,,,4.7,2.66,1.65,4.32,7,18,37,10.17
64,Michael Okonkwo,SS,Utah State,,6004,216,109.5,-0.9,19.3,Okonkwo,6004,216,,,,4.57,2.65,1.64,4.53,7.3,,37.5,10.25
65,Micah Eugene,FS,Southeast Louisiana,,5100,200,108.4,-0.9,19.1,Eugene,5100,200,,,,4.64,2.66,1.56,4.47,6.91,20,35.5,9.5
66,DeBarriaus Miller,FS,Jacksonville State,,5097,185,108.1,-0.9,18.1,Miller,5097,185,,,,4.57,2.65,1.6,4.08,7.07,5,33,10.33
67,Travis Green,SS,New Mexico,,6003,215,108.9,-0.9,17.8,Green,6003,215,,,,4.5,2.67,1.55,4.4,7.12,17,35,9.17
68,Trey Wesley,SS,Samford,,6002,203,108.6,-0.9,17.2,Wesley,6002,203,,,,4.64,2.58,1.57,4.45,7,15,35.5,9.75
69,Bryce Cheek,FS,Akron,,6006,197,107.7,-0.9,17.2,Cheek,6006,197,,,,4.53,2.62,1.58,4.52,7.26,19,34,10.42
70,Will Hayes,SS,Temple,,5072,198,108.5,-1,16.9,Hayes,5072,198,,,,4.63,2.57,1.62,,7.07,27,32.5,10.17
71,Devonta Burns,FS,Texas A&M,,5103,203,106.8,-1,15,Burns,5103,203,,,,4.52,2.59,1.6,4.26,7.07,,33,9.67
72,Eilar Hardy,SS,Bowling Green,,6001,195,107.6,-1,15,Hardy,6001,195,,,,4.65,2.66,1.63,4.2,7.06,12,36.5,9.83
73,Michael Caputo,SS,Wisconsin,,6004,207,107.5,-1.1,14.6,Caputo,6004,207,,,,4.7,2.69,1.64,4.29,6.96,,35.5,9.75
74,Fonyi Agendia,SS,Morgan State,,5075,197,107.4,-1.1,14.5,Agendia,5075,197,,,,4.49,,,4.58,7.31,25,35.5,10
75,Matthias Farley,SS,Notre Dame,24.1,5112,205,107.2,-1.1,14,Farley,5112,205,,,,4.5,2.59,1.64,4.3,7.13,21,33,10
76,Trae Elston,FS,Mississippi,22.5,5112,193,106.3,-1.1,13.9,Elston,5112,193,,,,4.5,2.57,1.52,4.5,7.34,,34.5,9.92
77,Anthony Thompson,FS,Southern Illinois,,6005,204,106,-1.1,13.3,Thompson,6005,204,,,,4.43,2.52,1.54,4.37,7.11,,32.5,9.33
78,DeAndre Houston-Carson,FS,William & Mary,,6006,201,106,-1.1,13.2,Houston-Carson,6006,201,30.125,9.125,75,4.54,2.62,1.55,4.28,7.15,13,32.5,9.58
79,Nathan Carpenter,SS,Ohio,,5087,189,106.7,-1.1,13,Carpenter,5087,189,,,,4.81,2.68,1.65,4.24,6.79,20,35.5,10
80,Hakim Jones,SS,North Carolina State,,6015,205,106.5,-1.1,12.6,Jones,6015,205,,,,4.65,2.69,1.65,4.4,7.53,18,37,10.5
81,Ben Estica,SS,Colorado State-Pueblo,,5117,194,106.3,-1.2,12.3,Estica,5117,194,,,,4.74,,,4.16,7.07,14,34.5,10.25
82,Jered Bell,SS,Colorado,,6003,208,106.3,-1.2,12.1,Bell,6003,208,,,,4.46,2.63,1.59,4.3,7.23,20,32.5,9.58
83,Mike Hilton,FS,Mississippi,,5086,178,105.3,-1.2,11.8,Hilton,5086,178,,,,4.55,2.67,1.59,4.19,6.86,13,33.5,9.75
84,Adam Sauder,SS,Taylor,,6027,223,105.7,-1.2,11,Sauder,6027,223,,,,4.64,2.67,1.69,4.4,7.27,25,34.5,10.08
85,Jonathan Coleman,SS,Harding,,6001,217,105.5,-1.2,10.8,Coleman,6001,217,,,,4.68,2.63,1.63,4.6,7.4,17,35.5,10.5
86,Zach Dancel,SS,Wake Forest,,5117,197,105.2,-1.3,10.2,Dancel,5117,197,,,,4.65,2.64,1.6,4.35,7.05,22,34,9.67
87,Mauricio Sanchez,SS,Texas-San Antonio,,5110,208,104.9,-1.3,9.8,Sanchez,5110,208,,,,4.78,2.68,1.67,4.26,7.23,18,36,10
88,Darian Thompson,FS,Boise State,22.9,6017,208,104,-1.3,9.4,Thompson,6017,208,30.375,9.125,73.75,4.58,2.67,1.59,4.33,7.26,12,32.5,9.83
89,Darion Monroe,SS,Tulane,,5096,201,104.2,-1.4,8.6,Monroe,5096,201,,,,4.69,2.68,1.65,4.24,6.94,15,34.5,9.67
90,Lamarcus Brutus,SS,Florida State,23.6,5115,206,104,-1.4,8.3,Brutus,5115,206,31.5,8.75,75.625,4.7,2.68,1.59,4.29,7.02,14,33,9.5
