#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Kevin King,DB31,CB,Washington,22.3,6030,200,142.2,2.4,99.2,King,6030,200,32,9.5,77.875,4.43,2.57,1.51,3.89,6.56,11,39.5,
2,Fabian Moreau,DB41,CB,UCLA,23.4,6004,206,140.6,2.3,98.8,Moreau,6004,206,31.375,9,75.75,4.35,2.51,1.51,4.12,6.94,,38,11.33
3,Marcus Sayles,,CB,West Georgia,,5092,177,140.5,2.3,98.8,Sayles,5092,177,,,,4.5,2.56,1.45,4.06,6.56,15,40,11
4,Marshon Lattimore,DB34,CB,Ohio State,21.3,6000,193,137.9,2,97.7,Lattimore,6000,193,31.25,8.875,74.875,4.36,2.53,1.48,,,,38.5,11
5,Chidobe Awuzie,DB03,CB,Colorado,22.3,5117,202,137.9,2,97.7,Awuzie,5117,202,30.625,8.5,74.125,4.43,2.57,1.53,4.14,6.81,16,39.5,11
6,Brian Allen,DB02,CB,Utah,23.9,6031,215,137.8,2,97.7,Allen,6031,215,34,10,78.5,4.43,2.56,1.51,4.18,6.64,15,38,10.58
7,Shaquill Griffin,DB15,CB,Central Florida,23.1,6001,194,135.5,1.8,96.1,Griffin,6001,194,32.375,8.75,74.75,4.38,2.55,1.52,4.14,6.87,17,38.5,11
8,Ahkello Witherspoon,DB59,CB,Colorado,22.5,6026,198,133.6,1.6,94.3,Witherspoon,6026,198,33,9.875,79.375,4.45,2.57,1.53,4.13,6.93,,40.5,10.58
9,Brandon Wilson,,CB,Houston,,5101,198,132.4,1.5,92.9,Wilson,5101,198,,,,4.4,2.53,1.54,4.42,7.09,24,41,11.08
10,Jalen Myrick,DB42,CB,Minnesota,22.5,5095,200,131.2,1.4,91.2,Myrick,5095,200,31.625,8.75,76.5,4.28,2.5,1.48,4.15,7.02,13,37.5,10.33
11,Marlon Humphrey,DB20,CB,Alabama,21.1,6002,197,130.6,1.3,90.3,Humphrey,6002,197,32.25,8.75,76.25,4.41,2.57,1.52,,6.75,10,,10.42
12,Jarell Carter,,CB,Trinity International,,5093,195,129.4,1.2,88.1,Carter,5093,195,,,,4.4,2.56,1.57,4.12,7.07,25,37,10.92
13,Gareon Conley,DB08,CB,Ohio State,22.2,6000,195,128.2,1.1,85.7,Conley,6000,195,33,9.5,76,4.44,2.58,1.56,4.18,6.68,11,37,10.75
14,Adoree Jackson,DB21,CB,Southern Cal,22,5100,186,127.6,1,84.2,Jackson,5100,186,31.375,9.25,74,4.38,2.56,1.52,,6.63,,36,10.17
15,Xavier Coleman,,CB,Portland State,,5107,189,127.5,1,83.9,Coleman,5107,189,,,,4.5,2.55,1.57,4.15,,17,40,10.5
16,Kedrick Davis,,CB,Charlotte,,5097,178,126.1,0.9,80.4,Davis,5097,178,,,,4.49,2.45,1.5,4.01,6.79,12,36,10.5
17,Donnie Starks,,CB,Kansas State,,5110,181,123,0.6,71.2,Starks,5110,181,,,,4.53,2.62,1.5,4.07,7.11,14,38.5,10.17
18,D.J. Killings,,CB,Central Florida,,5104,187,121.8,0.4,67,Killings,5104,187,,,,4.48,2.59,1.56,4.21,6.97,22,37.5,10.33
19,Cyril Noland-Lewis,,CB,Louisiana Tech,,6002,196,121.7,0.4,66.6,Noland-Lewis,6002,196,,,,4.54,2.57,1.54,4.32,7.38,16,38,10.92
20,Jamal Agnew,,CB,San Diego,22.4,5094,186,121.3,0.4,65.2,Agnew,5094,186,29.5,8.375,71.125,4.34,2.44,1.54,4.27,6.92,16,36,10.42
21,Tion Wright,,CB,Baylor,,5082,168,121.1,0.4,64.6,Wright,5082,168,,,,4.51,2.56,1.52,4.28,6.92,7,39.5,10.75
22,Marcelis Branch,,CB,Robert Morris,,5093,193,120.9,0.4,64,Branch,5093,193,,,,4.61,2.66,1.54,4.28,7.12,23,38,10.33
23,Brendan Langley,DB33,CB,Lamar,22.9,6003,201,120.7,0.3,63.1,Langley,6003,201,32,9.5,75.75,4.43,2.61,1.57,4.21,7.06,22,35.5,10.25
24,Dee Virgin,,CB,West Alabama,,5092,194,120.3,0.3,61.6,Virgin,5092,194,,,,4.47,2.59,1.5,4.29,7.35,16,36.5,10.5
25,J.T. Blasingame,,CB,Rice,,5077,178,120.2,0.3,61.4,Blasingame,5077,178,,,,4.47,2.57,1.54,,,14,37,10.5
26,Jared Collins,,CB,Arkansas,,5105,176,118.9,0.2,56.5,Collins,5105,176,,,,4.47,2.56,1.51,4.39,7,,36.5,10.75
27,Ryan Lewis,,CB,Pittsburgh,23.4,5110,192,118.8,0.2,56.2,Lewis,5110,192,30.5,8.5,75.75,4.37,2.5,1.59,4.34,6.87,16,35,10.67
28,Jack Tocho,DB51,CB,North Carolina State,21.8,6002,202,118.6,0.1,55.1,Tocho,6002,202,31.625,9.375,75.375,4.52,2.61,1.55,4.34,7.11,21,35,10.42
29,Tony Bridges,,CB,Mississippi,23.9,6002,188,118.4,0.1,54.4,Bridges,6002,188,31.25,8.875,74.625,4.58,2.66,1.59,4.33,7.12,,39.5,10.67
30,Sojourn Shelton,DB45,CB,Wisconsin,22.7,5090,177,118.2,0.1,53.6,Shelton,5090,177,31,8.375,72.125,4.51,2.63,1.55,4.02,6.83,10,35,10.33
31,DeChavon Hayes,,CB,Arizona State,,5094,181,117.9,0.1,52.6,Hayes,5094,181,,,,4.4,2.49,1.51,4.39,6.97,14,36,10.42
32,Bryson Echols,,CB,Arizona State,,5095,181,117.4,0,50.7,Echols,5095,181,,,,4.51,2.57,1.51,4.2,6.91,14,36,10
33,Justin Gibbons,,CB,Aurora,,6025,198,116.3,-0.1,46.4,Gibbons,6025,198,,,,4.55,2.57,1.52,4.36,6.93,16,35,10
34,David Rivers III,,CB,Youngstown State,,6011,186,116.3,-0.1,46.4,Rivers III,6011,186,,,,4.56,2.58,1.53,4.27,6.89,14,33.5,10.5
35,JR Nelson,,CB,Montana,,6005,187,116.1,-0.1,45.9,Nelson,6005,187,,,,4.58,2.6,1.53,4.23,6.94,,38,9.67
