#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Dylan Cole,,OLB,Missouri State,23.3,6004,239,145.8,1.8,96.7,Cole,6004,239,31.875,9.5,77,4.54,2.58,1.52,4.19,6.82,32,39,10.42
2,Cameron Judge,,OLB,UCLA,,6007,220,137.1,1.2,88.5,Judge,6007,220,,,,4.55,2.64,1.59,4.19,6.81,19,36.5,10.92
3,B.J. Bello,,OLB,Illinois State,,6020,228,137,1.2,88.5,Bello,6020,228,,,,4.56,2.46,1.46,4.17,6.71,10,33.5,10.75
4,Blair Brown,LB07,ILB,Ohio,23.3,5114,238,134.7,1.2,88.2,Brown,5114,238,31.25,9.375,75.25,4.65,2.69,1.61,4.18,6.92,22,38,10.33
5,Darnell Leslie,,OLB,Monmouth (NJ),,6011,229,136.7,1.2,88,Leslie,6011,229,,,,4.71,2.7,1.58,4.33,7.05,20,40.5,11.08
6,Eric Wilson,,OLB,Cincinnati,,6011,230,136.4,1.2,87.5,Wilson,6011,230,,,,4.53,2.5,1.54,4.31,6.96,25,39.5,10.08
7,David Talley,,OLB,Grand Valley State,,6010,236,136.2,1.1,87.3,Talley,6010,236,,,,4.51,2.66,1.57,4.39,7.15,23,41,10.25
8,Cody Heiman,,ILB,Washburn,,6013,229,134.1,1.1,87.2,Heiman,6013,229,,,,4.63,2.7,1.56,4.18,6.84,31,36,10.17
9,Jordan Evans,,OLB,Oklahoma,,6027,232,134.4,1,84.4,Evans,6027,232,,,,4.51,2.67,1.56,4.18,7.01,19,38.5,9.92
10,Jarrad Davis,LB11,OLB,Florida,21.8,6013,238,133.6,1,82.9,Davis,6013,238,33.5,9.75,78.625,4.62,2.64,1.57,4.29,7.39,23,38.5,10.75
11,Viliami Moeakiola,,OLB,Arizona State,,5116,210,133.2,0.9,82.1,Moeakiola,5116,210,,,,4.57,2.54,1.56,4.04,6.83,16,39.5,9.92
12,Jameer Thurman,,OLB,Indiana State,,5115,225,132.9,0.9,81.7,Thurman,5115,225,,,,4.59,2.64,1.53,4.27,7.21,26,38,10.42
13,Sae Tautu,,OLB,BYU,,6024,238,132.6,0.9,81,Tautu,6024,238,,,,4.61,2.65,1.63,4.38,6.92,19,38.5,10.5
14,Ironhead Gallon,,OLB,Georgia Southern,,5086,204,132,0.8,79.8,Gallon,5086,204,,,,4.57,2.63,1.58,4.41,6.71,18,38.5,10.83
15,Brady Sheldon,,OLB,Ferris State,,6052,220,131.1,0.8,78,Sheldon,6052,220,,,,4.52,2.6,1.55,4.24,7.07,15,37,10.42
