#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Kofi Amichia,,OG,South Florida,,6035,302,118.1,1.3,89.8,Amichia,6035,302,,,,4.99,2.82,1.74,,,32,33.5,9.5
2,Andrew Wylie,,OT,Eastern Michigan,,6050,304,118.7,1.1,86.3,Wylie,6050,304,,,,5.14,2.94,1.74,4.76,7.46,20,34,9.58
3,Garett Bolles,OL05,OT,Utah,25.3,6050,297,117.8,1,84.7,Bolles,6050,297,34,9.375,81,4.95,2.87,1.71,4.55,7.29,,28,9.58
4,Cameron Tom,,OC,Southern Miss,22.2,6034,291,114.2,0.9,81.4,Tom,6034,291,33.625,9.375,81.375,4.89,2.83,1.73,4.59,7.57,23,32,9.67
5,Nick Callender,,OT,Colorado State,,6054,321,114.4,0.8,77.8,Callender,6054,321,,,,5.15,2.97,1.81,4.46,7.6,23,34,8.83
6,Max Rich,,OT,Harvard,,6072,311,114,0.7,76.9,Rich,6072,311,,,,5.12,2.91,1.77,4.51,7.18,25,30,8.75
7,Thomas Evans,,OG,Richmond,,6030,305,111.6,0.7,76.8,Evans,6030,305,,,,5.15,2.95,1.72,4.68,7.72,27,30,9.33
8,Cam Keizur,,C,Portland State,,6032,303,112.3,0.7,76.7,Keizur,6032,303,,,,5.13,2.95,1.75,4.87,,,35.5,9.25
9,Will Freeman,,OT,Southern Miss,,6063,300,113.4,0.7,75.6,Freeman,6063,300,,,,5.13,2.87,1.73,4.93,7.63,24,31.5,9.67
10,Nico Siragusa,OL41,OG,San Diego State,23.3,6042,319,111,0.7,75.4,Siragusa,6042,319,33.5,10.625,79.375,5.35,3.03,1.83,4.56,7.71,28,32,9.17
11,Taylor Gadbois,,OT,Southeastern,,6073,315,113,0.7,74.7,Gadbois,6073,315,,,,4.94,2.95,1.77,4.9,7.61,31,33,9
12,Cole Gardner,,OT,Eastern Michigan,,6055,301,112.6,0.6,73.6,Gardner,6055,301,,,,5.1,2.93,1.74,4.51,7.46,16,33,9
13,Bret Treadway,,OG,Lamar,,6036,295,109.9,0.6,72.5,Treadway,6036,295,,,,5.08,2.85,1.71,4.76,7.73,34,29.5,9.25
14,Jylan Ware,,OT,Alabama State,,6074,317,111.2,0.5,70.1,Ware,6074,317,,,,4.99,2.94,1.73,4.7,7.96,,29,9.42
15,Cole Croston,,OT,Iowa,,6054,314,109.8,0.4,66.3,Croston,6054,314,,,,5.29,3.05,1.72,4.68,7.61,17,32.5,8.58
16,Cameron Young,,OG,Weber State,,6033,312,107.7,0.4,66,Young,6033,312,,,,5.24,3,1.79,4.75,7.79,31,30,9.25
17,Forrest Lamp,OL26,OT,Western Kentucky,,6035,309,109.6,0.4,65.9,Lamp,6035,309,32.25,10.625,77.875,4.98,2.91,1.75,4.62,7.55,34,27.5,9.25
18,Jeremy Liggins,,OG,Mississippi,,6031,315,107.3,0.4,65,Liggins,6031,315,,,,4.92,2.88,1.8,4.76,7.94,23,31,9.33
19,Christian Schneider,,OT,Cal Davis,,6054,301,109.2,0.4,64.6,Schneider,6054,301,,,,5.12,2.94,1.65,4.65,7.48,25,26.5,8.5
20,Geoff Gray,,OG,Manitoba,,6054,315,106.8,0.3,63.4,Gray,6054,315,34.625,9.375,79.5,5.34,3.15,1.87,4.69,7.7,25,31,9.5
21,Aaron Cox,,C,Grand Valley State,,6035,300,106.4,0.2,59.4,Cox,6035,300,,,,5.16,2.97,1.78,4.76,7.89,30,32.5,9.08
22,Dion Dawkins,OL12,OT,Temple,23.4,6037,314,107.1,0.2,58.6,Dawkins,6037,314,35,9.875,83.875,5.11,2.94,1.79,4.78,7.3,26,28,8.83
23,Rey Baltazar,,OT,Louisiana-Monroe,,6051,311,106.9,0.2,57.9,Baltazar,6051,311,,,,5.42,3.1,1.88,4.58,7.71,24,34.5,9
24,Chris Muller,,OG,Rutgers,,6057,315,104.2,0.1,55,Muller,6057,315,,,,5.35,3.08,1.84,4.86,7.72,34,29,9.17
25,Roubbens Joseph,,OT,Buffalo,,6044,312,105.8,0.1,54.8,Joseph,6044,312,,,,5.4,3.09,1.75,4.82,8.22,13,31.5,9.33
26,Joshua Boutte,,OG,LSU,23.3,6041,351,104.1,0.1,54.6,Boutte,6041,351,32.5,10.5,80.75,5.27,3.14,1.78,4.98,8.11,28,27,8.58
27,Jordan Roos,,OG,Purdue,,6035,302,104,0.1,54.4,Roos,6035,302,,,,5.22,2.97,1.82,4.78,7.47,41,28.5,8.83
28,Taylor Moton,OL33,OT,Western Michigan,23,6052,319,105.7,0.1,54.3,Moton,6052,319,34.125,10.625,82.125,5.18,3.01,1.84,4.58,7.73,23,30.5,9.08
29,Andrew Eide,,OT,BYU,,6045,302,105.6,0.1,54,Eide,6045,302,31.625,9.125,75.75,5.2,3.03,1.82,4.7,7.93,33,30.5,9.42
30,Casey Blaser,,OT,Duke,,6036,294,105.1,0.1,52.5,Blaser,6036,294,,,,5.09,2.89,1.71,4.63,7.54,27,27,9
31,Mason Zandi,,OT,South Carolina,,6085,309,104.8,0,51.7,Zandi,6085,309,,,,5.2,2.96,1.81,4.9,8.12,21,31.5,9.42
32,Storm Norton,,OT,Toledo,23.3,6072,307,104.6,0,51,Norton,6072,307,35.25,10.125,85,5.12,2.94,1.74,4.64,7.4,15,28.5,8.83
33,Kwayde Miller,,OT,San Diego State,,6072,303,104.3,0,50.2,Miller,6072,303,,,,5.24,2.99,1.84,4.63,7.5,21,32,8.92
34,Tyler Catalina,,OT,Georgia,24.6,6041,330,103.6,0,48.2,Catalina,6041,330,32.875,9.75,80.25,5.41,3.14,1.82,4.82,8.02,29,31,8.5
35,Larson Graham,,OT,Duquesne,,6043,304,103.4,-0.1,47.4,Graham,6043,304,,,,5.01,2.94,1.79,4.69,7.48,24,28,9.08
36,Jason King,,OG,Purdue,,6034,303,101.8,-0.1,47.3,King,6034,303,,,,5.3,3,1.85,4.72,7.75,35,31,8.92
