#,Name,CID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Tommy Armstrong Jr.,,QB,Nebraska,,6003,216,130.3,1.9,97.2,Armstrong Jr.,6003,216,,,,4.57,2.65,1.61,4.11,6.76,16,37.5,10.25
2,Taysom Hill,,QB,BYU,,6015,230,129.4,1.9,96.8,Hill,6015,230,,,,4.46,2.55,1.61,4.37,7.03,,38.5,10.17
3,Zach Conque,,QB,Stephen F. Austin,,6052,232,129,1.8,96.7,Conque,6052,232,,,,4.59,2.59,1.55,4.28,6.86,12,36.5,10.25
4,Trevor Knight,QB07,QB,Texas A&M,23.9,6013,219,127.2,1.7,95.8,Knight,6013,219,30.625,9.875,75.25,4.54,2.66,1.6,4.14,7.04,,35.5,10.42
5,Joshua Dobbs,QB02,QB,Tennessee,22.6,6033,216,117.5,1.2,87.8,Dobbs,6033,216,32.625,9.25,78.25,4.64,2.69,1.62,4.31,6.75,,33,10.17
6,Antonio Pipkin,,QB,Tiffin,22.1,6007,225,117.4,1.2,87.7,Pipkin,6007,225,32.25,10,77.875,4.66,2.7,1.62,4.25,7.07,,36.5,9.67
7,Dakota Prukop,,QB,Oregon,,6012,210,116.7,1.1,86.8,Prukop,6012,210,,,,4.77,2.83,1.65,4.16,6.78,,,10.08
8,Manny Stocker,,QB,Pittsburgh,,6013,210,115.3,1,85,Stocker,6013,210,,,,4.51,2.59,1.63,4.38,7.24,,33,10.58
9,Eli Jenkins,,QB,Jacksonville State,,6012,208,114.2,1,83.4,Jenkins,6012,208,,,,4.72,2.75,1.57,4.28,7.14,,35.5,10.08
10,Patrick Towles,,QB,Boston College,,6047,241,114.1,1,83.3,Towles,6047,241,,,,4.6,2.67,1.61,4.49,7.29,,33.5,10
11,Deshaun Watson,QB15,QB,Clemson,22,6024,221,113.8,0.9,82.8,Watson,6024,221,33,9.75,79.875,4.66,2.72,1.6,4.31,6.95,,32.5,9.92
12,Davis Webb,QB16,QB,California,22.6,6045,229,112,0.8,80,Webb,6045,229,33.125,9.25,78.125,4.79,2.8,1.66,4.21,6.92,,33,9.83
13,Mitch Leidner,QB08,QB,Minnesota,23.6,6034,226,110.9,0.8,78.2,Leidner,6034,226,33.75,10,79.75,4.93,2.8,1.68,4.25,6.96,,34.5,10.25
14,Patrick Mahomes,QB10,QB,Texas Tech,22,6020,225,106.6,0.5,70.1,Mahomes,6020,225,33.25,9.25,78.5,4.8,2.8,1.65,4.08,6.88,,30,9.5
15,Matt Davis,,QB,SMU,,5113,212,106.1,0.5,69.1,Davis,5113,212,,,,4.67,2.74,1.65,4.32,7.28,,33,9.92
16,Justin Holman,,QB,Central Florida,,6037,215,105.7,0.5,68.3,Holman,6037,215,,,,4.71,2.65,1.66,4.21,7.19,,35.5,9.17
