#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Matt Breida,,RB,Georgia Southern,,5092,195,141.7,1.6,94.9,Breida,5092,195,,,,4.39,2.5,1.53,4.34,6.85,23,42,11.17
2,Brionte Dunn,,RB,Ohio State,,6000,214,136.5,1.2,88.9,Dunn,6000,214,,,,4.49,2.54,1.55,4.26,6.71,23,38,10.5
3,Aaron Jones,RB15,RB,UTEP,22.7,5094,208,136.1,1.2,88.2,Jones,5094,208,32.5,9.5,76.25,4.49,2.57,1.51,4.2,6.82,16,37.5,10.58
4,Alvin Kamara,RB16,RB,Tennessee,22.1,5102,214,133.3,1,83.3,Kamara,5102,214,32.75,9.25,78.25,4.53,2.61,1.55,4.35,7.1,15,39.5,10.92
5,Chad Newell,,FB,Montana State,,6012,215,121.5,0.8,80.2,Newell,6012,215,,,,4.76,2.75,1.63,4.15,6.8,17,37.5,9.92
6,Shane Smith,,FB,San Jose State,,6013,244,120.9,0.8,79,Smith,6013,244,,,,4.81,2.74,1.65,4.48,7.37,36,37,10.5
7,Joe Bacci,,FB,Central Michigan,,6016,240,119.1,0.7,75,Bacci,6016,240,,,,4.73,2.73,1.63,4.38,6.87,,34,10
8,Christian McCaffrey,RB19,RB,Stanford,21.2,5112,202,128.9,0.6,72.8,McCaffrey,5112,202,30,9,71.625,4.48,2.6,1.55,4.22,6.57,10,37.5,10.08
9,Mark Herndon,,RB,Florida,,5085,207,128.7,0.6,72.5,Herndon,5085,207,,,,4.63,2.63,1.54,4.27,6.97,20,37.5,10.42
10,Algernon Brown,,FB,BYU,24.8,5116,235,117.8,0.6,71.8,Brown,5116,235,31.875,9.625,76,4.63,2.68,1.57,4.31,7.06,21,33,9.58
11,Tim Cook,,FB,Oregon State,,5117,242,117.7,0.6,71.6,Cook,5117,242,,,,4.64,2.64,1.7,4.38,7.07,24,37,10
12,Joe Mixon,,RB,Oklahoma,21.1,6006,228,128.1,0.5,70.7,Mixon,6006,228,,,,4.45,2.62,1.51,4.27,7.1,21,35,9.83
13,Devlon Wortham,,RB,SE Oklahoma State,,5082,200,126.8,0.4,67.1,Wortham,5082,200,,,,4.48,2.43,1.58,4.22,7.25,16,38.5,10.75
14,Chris Carson,RB01,RB,Oklahoma State,23,5116,218,126.6,0.4,66.4,Carson,5116,218,33.25,9.625,79.375,4.58,2.66,1.6,4.28,7.53,23,39,10.83
15,Tyler Scalzi,,FB,Texas Tech,,6030,239,115.4,0.4,65.6,Scalzi,6030,239,,,,4.84,2.81,1.75,4.4,7.08,37,36,10.5
16,Joe Williams,RB32,RB,Utah,24,5110,210,126.2,0.4,65.4,Williams,5110,210,30.75,9.375,74.125,4.41,2.58,1.58,4.19,6.94,14,35,10.42
17,Jeremy McNichols,RB21,RB,Boise State,21.7,5085,214,126,0.4,64.6,McNichols,5085,214,31.5,10,74.875,4.49,2.62,1.55,4.28,6.93,,35.5,10.08
18,Devante Mays,,RB,Utah State,,5103,230,125.7,0.4,63.7,Mays,5103,230,,,,4.52,2.6,1.62,4.53,7.43,22,40.5,10.75
19,Clyde Newton,,FB,Indiana,,5111,233,114.5,0.3,63.2,Newton,5111,233,,,,4.84,2.75,1.65,4.44,7.01,33,36,9.67
20,Brendan Douglas,,FB,Georgia,,5097,220,114.4,0.3,63,Douglas,5097,220,,,,4.73,2.72,1.67,4.31,7.07,26,35,10.17
21,Stanley Williams,RB33,RB,Kentucky,21.9,5074,190,125.2,0.3,62.4,Williams,5074,190,30,8.625,71.5,4.43,2.6,1.53,4.18,6.86,18,36,10.08
22,Dalton Crossan,,RB,New Hampshire,,5105,205,125.2,0.3,62.3,Crossan,5105,205,,,,4.52,,1.58,4.14,6.85,21,35,10.17
23,Marlon Mack,RB18,RB,South Florida,21.5,5113,213,125,0.3,61.7,Mack,5113,213,32,9,76.625,4.5,2.61,1.55,,,15,35.5,10.25
24,Devin Church,,RB,Eastern Illinois,,5070,198,124.5,0.3,60,Church,5070,198,,,,4.55,2.54,1.51,4.17,6.6,18,35,9.58
25,Aaron Bailey,,RB,Northern Iowa,,6002,233,124.4,0.2,59.7,Bailey,6002,233,,,,4.5,2.66,1.58,4.35,6.85,,34,9.92
26,Khalfani Muhammad,,RB,California,22.9,5071,170,124.2,0.2,59.3,Muhammad,5071,170,28.875,9.25,69.5,4.38,2.52,1.55,4.27,6.74,11,38.5,10.5
27,Joel Bouagnon,,RB,Northern Illinois,,6012,230,123.1,0.1,55.7,Bouagnon,6012,230,,,,4.66,2.53,1.56,4.42,6.9,20,34,10.17
28,Tanner Fink,,FB,Kentucky,,6012,240,111.8,0.1,55.6,Fink,6012,240,,,,4.84,2.8,1.62,4.34,7.36,30,33,9.75
29,Lazedrick Thompson,,RB,Tulane,,6003,206,122.8,0.1,54.7,Thompson,6003,206,,,,4.53,2.59,1.6,4.25,7,18,35,10.58
30,T.J. Logan,RB17,RB,North Carolina,23,5094,196,121.9,0.1,52,Logan,5094,196,32,9,73.875,4.37,2.59,1.57,4.27,6.61,17,33.5,10.08
31,Walter Hibbler,,FB,West Georgia,,6010,242,110.4,0,51.4,Hibbler,6010,242,,,,4.9,2.84,1.6,,,21,32.5,10.17
32,Jonah Hodges,,RB,San Diego,,5086,190,121.3,0,49.9,Hodges,5086,190,,,,4.54,2.53,1.57,4.24,6.99,18,38,10.08
33,Brian Hill,RB12,RB,Wyoming,21.8,6010,219,121.2,0,49.8,Hill,6010,219,31.375,8.875,75.125,4.54,2.65,1.59,4.32,7.03,15,34,10.42
34,Trey Edmunds,,RB,Maryland,,6005,223,120.8,0,48.3,Edmunds,6005,223,,,,4.48,2.58,1.58,,7.25,,35.5,10.17
35,Ryan Owens,,FB,Wagner,,6030,235,108.7,-0.1,46.4,Owens,6030,235,,,,5,2.84,1.64,4.38,7.2,,34.5,9.83
36,Raymond Taylor,,RB,Tulsa,,5072,197,119.9,-0.1,45.5,Taylor,5072,197,,,,,2.58,1.57,4.21,7.13,22,36.5,9.92
37,Corey Clement,RB02,RB,Wisconsin,22.8,5101,220,119.5,-0.1,44.3,Clement,5101,220,30.5,9.75,72.875,4.59,2.66,1.62,4.17,6.71,19,32,10
38,Myles Willis,,RB,Boston College,,5083,192,119.3,-0.2,43.6,Willis,5083,192,,,,4.52,2.66,1.58,4.11,6.88,15,37.5,9.58
39,Justin Thomas,,RB,Georgia Tech,,5091,186,119,-0.2,42.6,Thomas,5091,186,,,,4.35,2.49,1.42,4.14,7.19,,32,9.58
40,Dare Ogunbowale,RB22,RB,Wisconsin,23.3,5106,213,118.3,-0.2,40.3,Ogunbowale,5106,213,31.375,9.125,75.875,4.62,2.6,1.6,4.21,6.99,14,35,10
41,Keaun Kinner,,RB,Kansas,,5085,183,118,-0.3,39.5,Kinner,5085,183,,,,4.56,2.56,1.51,4.3,6.98,17,36,9.92
42,Terrell Newby,,RB,Nebraska,,5093,204,117.6,-0.3,38.2,Newby,5093,204,,,,4.53,2.65,1.56,4.22,6.87,,35,9.42
