#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Obi Melifonwu,DB40,DS,Connecticut,23.4,6037,224,152.6,3.3,100,Melifonwu,6037,224,32.5,9.125,79.25,4.4,2.55,1.51,4.09,7.07,17,44,11.75
2,Jason Thompson,,FS,Utah,,6014,210,144.1,2.7,99.6,Thompson,6014,210,,,,4.45,,,4.01,6.57,20,39.5,11.08
3,Kai Nacua,,FS,BYU,,6006,205,132.4,1.5,93.6,Nacua,6006,205,31.75,9.625,75.75,4.49,2.57,1.54,4.14,6.87,15,39,10.58
4,Patrick Levels,,SS,Baylor,,5090,192,133.4,1.4,91.8,Levels,5090,192,,,,4.43,2.56,1.5,4.17,6.92,20,39,10.67
5,Marcus Williams,DB56,DS,Utah,21,6005,202,131.9,1.4,91.2,Williams,6005,202,32.5,9.5,76.75,4.56,2.68,1.61,4.2,6.85,14,43.5,10.75
6,Jabrill Peppers,LB24,DS,Michigan,21.9,5107,213,130.7,1.2,89.1,Peppers,5107,213,30.75,9.625,74,4.46,2.62,1.54,4.11,6.99,19,35.5,10.67
7,Josh Jones,DB27,DS,North Carolina State,22.9,6013,220,129.5,1.1,86.7,Jones,6013,220,32,9.375,76.25,4.41,2.61,1.58,4.4,7.05,20,37.5,11
8,Jacques Bryant,,FS,Florida A&M,,5114,206,128.1,1.1,86.3,Bryant,5114,206,,,,4.42,2.55,1.58,4.19,7.69,24,41,11
9,Justin Evans,DB12,DS,Texas A&M,22,5115,199,127.2,0.9,81.5,Evans,5115,199,32,9.75,76.625,4.6,2.67,1.57,,,14,41.5,10.75
10,Donald Payne,,SS,Stetson,,5116,217,127.8,0.9,80.6,Payne,5116,217,,,,4.55,2.64,1.55,4.35,6.76,16,37.5,
11,Rayshawn Jenkins,DB23,DS,Miami,22.6,6010,214,126.4,0.8,79.1,Jenkins,6010,214,32.75,9.625,77.375,4.51,2.61,1.59,4.2,7.06,19,37,10.67
12,Montae Nicholson,DB43,SS,Michigan State,21.7,6023,212,126.8,0.8,77.8,Nicholson,6023,212,33.375,9.5,78,4.42,2.6,1.55,,,,35,10.42
13,Kaleb Moore,,FS,Baylor,,5110,202,123.4,0.6,73.3,Moore,5110,202,,,,4.58,2.65,1.56,4.27,7.21,9,40,10.67
14,Richie Sampson,,FS,Coastal Carolina,,6021,201,122.6,0.5,70.8,Sampson,6021,201,,,,4.5,2.64,1.53,4.38,7.1,9,39,10.5
15,Chuck Clark,DB06,FS,Virginia Tech,22.4,6000,208,122.4,0.5,69.9,Clark,6000,208,32.25,9,77.125,4.54,2.63,1.56,4.07,6.85,16,34,10.17
16,Branden Leston,,SS,Western Kentucky,,6015,202,123.8,0.5,68.7,Leston,6015,202,,,,4.49,2.59,1.62,3.97,6.56,20,37.5,9.67
17,Quincy Mauger,,SS,Georgia,,5115,208,123.8,0.5,68.6,Mauger,5115,208,,,,4.6,2.71,1.57,4.18,6.88,20,37.5,10.08
18,Dylan Haines,,FS,Texas,,6004,192,122,0.5,68.6,Haines,6004,192,,,,4.64,2.7,1.62,4.04,6.8,18,38.5,10.33
19,Corbin McCarthy,,SS,Duke,,5086,206,123.5,0.5,67.6,McCarthy,5086,206,,,,4.41,2.51,1.52,4.19,7.32,30,36,10
20,Orion Stewart,,DS,Baylor,23.6,6002,203,122.4,0.4,66.6,Stewart,6002,203,33.75,10.25,79.25,4.58,2.62,1.56,4.2,7.05,,37,10.42
21,Leo Musso,,SS,Wisconsin,,5085,189,123,0.4,66.1,Musso,5085,189,,,,4.59,2.6,1.57,4.13,6.57,15,34.5,10.67
22,John Johnson,DB26,DS,Boston College,22.7,6004,208,121.9,0.4,64.6,Johnson,6004,208,32,9.875,76.125,4.61,2.66,1.58,4.18,6.72,14,37,10
23,David Jones,,FS,Richmond,,6011,205,120.9,0.4,64.6,Jones,6011,205,,,,4.43,2.6,1.5,4.32,7.31,12,34,10.75
24,Dominique Green,,FS,North Carolina,,5103,187,120.5,0.3,63.2,Green,5103,187,,,,4.58,2.63,1.56,4.25,7,18,35.5,10.92
25,D.J. May,,SS,Wyoming,,5107,205,122.2,0.3,63.1,May,5107,205,,,,4.53,2.64,1.57,4.22,6.95,,36,10.42
26,Jordan Bowman,,FS,California (PA),,5107,206,119.9,0.3,60.8,Bowman,5107,206,,,,4.59,2.72,1.6,4.31,6.82,22,36,10.33
27,Yamen Sanders,,SS,Montana,,6024,215,120.7,0.2,57.9,Sanders,6024,215,,,,4.69,2.62,1.6,4.45,7.3,24,42,10.33
28,Casey DeAndrade,,FS,New Hampshire,,5113,212,119.1,0.2,57.6,DeAndrade,5113,212,,,,4.46,,1.55,4.21,6.96,22,33,9.92
29,Ahmad Thomas,,DS,Oklahoma,,6000,214,119.4,0.1,55.4,Thomas,6000,214,32.125,8.5,75.25,4.68,2.69,1.56,4.13,7.03,15,36.5,9.83
30,Xavier Woods,DB60,SS,Louisiana Tech,22.1,5111,197,119,0,51.4,Woods,5111,197,30.375,9.375,73.875,4.51,2.59,1.58,4.13,6.72,19,33.5,10.17
