#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,George Kittle,TE10,TE,Iowa,23.9,6036,247,143,1.9,97.2,Kittle,6036,247,33.125,9.25,78.75,4.52,2.65,1.59,,7,18,38.5,11
2,David Njoku,TE12,TE,Miami,21.1,6040,246,142.4,1.9,96.9,Njoku,6040,246,35.25,10,82.5,4.63,2.66,1.57,4.34,6.97,21,40,11.08
3,Bucky Hodges,TE08,TE,Virginia Tech,22.1,6060,257,138.8,1.6,94.5,Hodges,6060,257,32.5,10.125,78,4.57,2.64,1.59,4.45,,18,39,11.17
4,Evan Engram,TE05,TE,Mississippi,23,6033,234,137.3,1.5,93.1,Engram,6033,234,33.5,10,78.625,4.42,2.57,1.56,4.23,6.92,19,36,10.42
5,Gerald Everett,TE06,TE,South Alabama,23.2,6030,239,132.8,1.2,87.6,Everett,6030,239,33,8.5,78.875,4.6,2.87,1.61,4.33,6.99,22,37.5,10.5
6,Jonnu Smith,TE18,TE,Florida International,22,6025,248,132.1,1.1,86.5,Smith,6025,248,32.625,9.25,78.125,4.62,2.71,1.64,4.18,7.43,22,38,10.58
7,O.J. Howard,TE09,TE,Alabama,22.8,6056,251,130.6,1,84,Howard,6056,251,33.75,10,80.625,4.51,2.61,1.55,4.16,6.85,22,30,10.08
8,Keith Towbridge,,TE,Louisville,22.3,6036,262,129.6,0.9,82,Towbridge,6036,262,33.625,9.875,82.125,4.72,2.7,1.68,4.4,7.1,19,37.5,10.42
9,Sam Cotton,,TE,Nebraska,,6045,246,127.1,0.7,76.7,Cotton,6045,246,,,,4.8,2.77,1.64,4.24,6.87,15,35.5,10.58
10,Andy Avgi,,TE,Western Oregon,,6047,263,125.2,0.6,72.3,Avgi,6047,263,,,,4.83,2.76,1.65,4.29,7.07,17,35.5,10.17
11,Jacob Hollister,,TE,Wyoming,,6035,239,124.4,0.5,70.2,Hollister,6035,239,,,,4.64,2.7,1.62,4.34,7.12,,36.5,10.08
12,Adam Shaheen,TE17,TE,Ashland,22.9,6064,278,123.7,0.5,68.4,Shaheen,6064,278,33.5,9.625,80.25,4.79,2.8,1.71,4.38,7.09,24,32.5,10.08
13,Steven Wroblewski,,TE,Southern Utah,,6074,252,122.4,0.4,64.8,Wroblewski,6074,252,,,,4.64,2.68,1.65,4.37,6.96,16,33,10.17
14,Jonathan Dorsey,,TE,Alabama A&M,,6065,234,122.2,0.4,64.2,Dorsey,6065,234,,,,4.63,2.67,1.55,4.36,7.42,18,32,10.92
15,Sean Culkin,,TE,Missouri,,6051,255,120.6,0.2,59.8,Culkin,6051,255,,,,4.71,2.82,1.64,4.46,7.2,21,35.5,10
16,Mason Schreck,,TE,Buffalo,,6044,253,119,0.1,55.1,Schreck,6044,253,,,,4.76,2.74,1.59,4.27,7.36,19,34.5,9.83
17,Paul Butler,,TE,California (PA),,6060,252,118.6,0.1,54.1,Butler,6060,252,,,,4.91,,1.65,4.47,7.06,19,39.5,9.83
18,Jordan Leggett,TE11,TE,Clemson,22.6,6054,258,117.8,0,51.8,Leggett,6054,258,33.5,10.375,78.875,4.71,2.7,1.7,4.33,7.12,18,33,9.92
19,Blake Jarwin,,TE,Oklahoma State,23.1,6051,246,117.3,0,50.2,Jarwin,6051,246,34,10,82.25,4.73,2.76,1.58,4.39,7.44,21,34.5,10.08
20,Tyrone Swoopes,,TE,Texas,,6041,246,117.3,0,50.1,Swoopes,6041,246,,,,4.75,2.74,1.65,4.36,6.89,19,35,9.58
21,Eric Saubert,TE16,TE,Drake,23.3,6046,253,117.1,0,49.6,Saubert,6046,253,33.5,10.375,79.875,4.69,2.72,1.63,4.59,7.34,22,35.5,10.08
22,Jason Croom,,TE,Tennessee,,6042,252,116.8,0,48.6,Croom,6042,252,,,,4.69,2.82,1.67,4.4,7.33,23,34,10
23,Darrell Daniels,TE04,TE,Washington,22.8,6032,247,116.7,0,48.5,Daniels,6032,247,34.5,10.25,80.875,4.55,2.63,1.58,4.47,7.09,17,32,9.67
24,Kody Kohl,,TE,Arizona State,,6024,243,116,-0.1,46.4,Kohl,6024,243,,,,4.71,2.72,1.64,4.46,7.07,21,35.5,9.67
25,Taylor McNamara,,TE,Southern Cal,23.1,6043,252,112.8,-0.3,37.2,McNamara,6043,252,33.25,9.875,78.5,4.78,2.76,1.64,4.36,7.07,14,32.5,9.75
26,Deon Watson,,TE,Idaho,,6030,222,112.7,-0.3,36.8,Watson,6030,222,,,,4.73,2.65,1.62,4.41,7.15,14,35,10.08
27,Kent Taylor,,TE,UTEP,,6047,244,112.4,-0.4,35.9,Taylor,6047,244,,,,4.64,2.7,1.6,4.41,7.54,,32,10
28,Luke Papilion,,TE,Sioux Falls,,6052,223,112.4,-0.4,35.9,Papilion,6052,223,,,,4.7,2.77,1.68,4.32,7.06,15,35,9.83
29,Lucas Nikolaisen,,TE,Holy Cross,,6037,259,111.4,-0.4,33.3,Nikolaisen,6037,259,,,,4.98,2.83,1.74,4.39,7.12,21,34.5,10.08
30,Jeremy Sprinkle,TE19,TE,Arkansas,23.1,6047,252,111,-0.5,32.2,Sprinkle,6047,252,34.5,10.75,81.625,4.65,2.63,1.59,4.53,7.1,15,30.5,9.67
31,Antony Auclair,,TE,Laval,,6053,256,111,-0.5,32.1,Auclair,6053,256,34.25,10.875,79.125,4.9,2.71,1.65,4.37,7.3,22,33.5,9.75
32,Brandon Barnes,,TE,Alabama State,,6046,255,110.9,-0.5,32,Barnes,6046,255,,,,4.72,2.7,1.71,4.69,7.03,20,35.5,9.5
33,Emanuel Byrd,,TE,Marshall,,6021,239,110.8,-0.5,31.6,Byrd,6021,239,,,,4.66,2.62,1.58,4.51,7.37,20,33.5,9.67
34,Nehemiah Winston,,TE,Cal Davis,,6035,254,110.7,-0.5,31.3,Winston,6035,254,,,,4.78,2.79,1.69,4.52,7.3,26,34.5,9.67
35,Michael Roberts,TE15,TE,Toledo,23.3,6043,270,108.5,-0.7,25.7,Roberts,6043,270,33,11.5,80.5,4.86,2.82,1.65,4.42,7.05,21,30,9.17
36,Johnny Mundt,,TE,Oregon,,6042,243,108.3,-0.7,25.4,Mundt,6042,243,,,,4.74,2.72,1.62,4.24,7.21,21,30,9.42
