#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Taven Bryan,DL02,DT,Florida,22.5,6050,291,137.6,1.9,97.1,Bryan,6050,291,32.75,9.75,78.875,4.98,2.88,1.68,4.48,7.12,30,35,9.92
2,James Looney,DL41,DT,California,23.3,6026,287,131.8,1.5,93.1,Looney,6026,287,32,10.5,77.375,4.89,2.84,1.67,4.37,7.32,28,35.5,9.42
3,P.J. Hall,,DT,Sam Houston State,23.4,6004,308,129.9,1.3,91,Hall,6004,308,31.875,9.875,77,4.73,2.78,1.7,4.77,7.92,36,38,9.67
4,Jullian Taylor,,DT,Temple,,6044,294,129.5,1.3,90.5,Taylor,6044,294,34.375,10,81.5,4.94,2.81,1.63,4.77,7.32,29,31.5,9.5
5,Sebastian Joseph,,DT,Rutgers,23.4,6030,299,122.4,0.8,79.1,Joseph,6030,299,34.5,10.625,82.5,4.97,2.75,1.68,4.56,7.4,24,31.5,9.33
6,Tomasi Laulile,,DT,BYU,,6025,301,120.3,0.7,74.5,Laulile,6025,301,33.625,9.875,81.125,4.77,2.78,1.69,4.51,7.21,21,30,9.08
7,Lord Hyeamang,,DT,Columbia,,6032,286,120.1,0.6,74.1,Hyeamang,6032,286,33.375,8.875,78,4.76,2.78,1.68,4.81,7.42,28,33,9.42
8,Bilal Nichols,DL12,DT,Delaware,22,6036,306,119.2,0.6,71.8,Nichols,6036,306,33.375,10.25,80.125,4.95,2.89,1.72,4.49,7.45,29,30.5,9.33
9,Foley Fatukasi,DL03,DT,Connecticut,23.5,6036,318,118.4,0.5,69.9,Fatukasi,6036,318,34.125,10.25,82,5.29,3,1.76,4.53,7.44,33,30,9.33
10,Mike Ramsay,,DT,Duke,,6015,300,118.1,0.5,69.1,Ramsay,6015,300,31.875,10,76.875,4.89,2.8,1.66,4.53,7.54,31,30,8.83
11,Breeland Speaks,DL46,DT,Mississippi,22.7,6027,283,117.4,0.5,67.5,Speaks,6027,283,33.75,9.875,79.625,4.87,2.79,1.64,4.65,7.63,,32.5,9.17
12,Nick Thurman,,DT,Houston,,6036,299,116.9,0.4,66.1,Thurman,6036,299,33.875,9.25,81.875,5.17,2.91,1.73,4.76,7.51,22,33,9.67
13,Nathan Shepherd,DL19,DT,Fort Hays State,,6036,315,116.4,0.4,64.7,Shepherd,6036,315,32.375,10.125,80.5,5.09,2.94,1.77,4.53,7.5,,31,9.33
14,Da'Ron Payne,DL15,DT,Alabama,21.3,6024,311,115.8,0.3,63.1,Payne,6024,311,33,9.375,78.375,4.9,2.84,1.66,4.71,7.58,27,28.5,8.92
15,Harrison Phillips,DL16,DT,Stanford,22.6,6032,307,115.5,0.3,62.4,Phillips,6032,307,33.875,10.375,80.5,5.21,3,1.79,4.5,7.28,42,32,8.58
16,Kevin Willis,,DT,Ball State,,6011,293,113,0.1,55.4,Willis,6011,293,31.125,9.875,79.375,5.08,2.95,1.7,4.56,7.34,,28.5,9.08
17,Da'Shawn Hand,DL34,DT,Alabama,22.8,6035,297,112.2,0.1,53.2,Hand,6035,297,34.375,9.75,80.625,4.83,2.85,1.7,4.62,7.98,28,31.5,9.25
18,Andrew Brown,DL27,DT,Virginia,22.7,6033,296,109.8,-0.1,46.3,Brown,6033,296,34.5,9.375,81.5,4.98,2.88,1.67,4.48,7.51,31,28,8.42
19,Curtis Cothran,,DT,Penn State,,6046,283,109.3,-0.1,44.9,Cothran,6046,283,32.75,9.625,80.5,4.84,2.82,1.7,4.7,7.72,26,28.5,9.92
20,Trenton Thompson,DL21,DT,Georgia,22.1,6025,288,109.1,-0.1,44.2,Thompson,6025,288,34,10.625,81,5.06,2.91,1.73,4.56,7.68,,32.5,9.25
21,Kendal Vickers,,DT,Tennessee,,6026,290,108.4,-0.2,42.4,Vickers,6026,290,34.25,10.25,81,5.02,2.87,1.7,4.65,7.56,16,30,9.33
22,Henry Mondeaux,,DT,Oregon,,6041,297,108.4,-0.2,42.3,Mondeaux,6041,297,31.125,8.625,75.375,4.96,2.94,1.75,4.51,7.73,25,32,9.17
23,B.J. Hill,DL07,DT,North Carolina State,23.4,6032,311,108.4,-0.2,42.2,Hill,6032,311,33,10.625,78.25,4.99,2.88,1.73,4.53,7.28,35,26.5,8.42
24,Jamar King,,DT,Alabama,,6032,291,108.3,-0.2,42.1,King,6032,291,34.5,9.125,81,4.78,2.8,1.72,4.9,7.45,20,29.5,9.42
25,Bruce Hector,,DT,South Florida,,6022,299,107.1,-0.3,38.8,Hector,6022,299,32.875,10.25,79.375,4.98,2.83,1.75,4.69,7.85,26,33.5,9
26,Tyler Lancaster,,DT,Northwestern,,6034,313,105.4,-0.4,34.3,Lancaster,6034,313,32.875,10.75,80.125,5.01,2.88,1.87,4.6,7.46,32,27,9.42
27,Zaycoven Henderson,DL06,DT,Texas A&M,23.7,6006,298,104.4,-0.5,31.7,Henderson,6006,298,32.75,9.75,78.625,5.16,2.98,1.76,4.58,7.33,20,29.5,8.75
28,Matt Dickerson,DL30,DT,UCLA,,6045,292,104.2,-0.5,31,Dickerson,6045,292,33.25,10,79,5.06,3,1.8,4.67,7.56,26,31,
29,Noa Merritt,,DT,Boston College,,6002,280,103.7,-0.5,29.9,Merritt,6002,280,30.125,9.5,74.625,5.09,2.88,1.65,4.55,7.49,24,27,8.5
30,Lyndon Johnson,,DT,Cincinnati,,6050,287,103.5,-0.5,29.2,Johnson,6050,287,35.5,9.75,85.625,5.03,2.92,1.87,5,7.9,24,36,9.58
31,Maurice Hurst,DL08,DT,Michigan,23.3,6012,292,102.8,-0.6,27.7,Hurst,6012,292,32,9.5,76.875,4.98,2.76,1.73,4.59,7.71,29,31,8.67
32,Kahlil McKenzie,DL11,DT,Tennessee,21.7,6026,314,102.7,-0.6,27.4,McKenzie,6026,314,31.5,10.125,77.75,5.15,2.98,1.78,4.62,7.69,26,29.5,8.75
33,Niles Scott,,DT,Frostburg State,,6011,326,102.6,-0.6,27.1,Scott,6011,326,32.125,10,78.25,5.21,3.03,1.8,4.85,7.75,29,30.5,8.42
34,Poona Ford,,DT,Texas,22.8,5115,306,101.8,-0.7,25.3,Ford,5115,306,32.75,9.25,80.25,5.13,3,1.81,4.75,7.76,24,29.5,9.25
35,Tracy Sprinkle,,DT,Ohio State,,6024,292,101,-0.7,23.5,Sprinkle,6024,292,32,9.5,77.5,5.08,2.95,1.77,,,31,29.5,
36,Drew Bailey,,DT,Louisville,,6031,285,100.4,-0.8,22.2,Bailey,6031,285,33,9.25,81.125,5.05,2.89,1.84,4.81,7.58,19,31.5,9.58
37,Blaine Woodson,,DT,Delaware,,6012,290,100.3,-0.8,21.9,Woodson,6012,290,31,9.25,77.5,5.12,2.89,1.81,4.61,7.69,25,31,9.17
38,Kellen Soulek,,DT,South Dakota State,,6041,310,99.8,-0.8,21,Soulek,6041,310,32.25,10.75,79.375,5.17,3.01,1.85,4.73,7.75,20,30,9.17
39,Justin Jones,DL09,DT,North Carolina State,,6024,309,99.7,-0.8,20.7,Jones,6024,309,33.5,10,81,5.09,2.96,1.75,4.71,7.82,24,29,8.67
40,Du'Vonta Lampkin,,DT,Oklahoma,,6041,345,99,-0.9,19.3,Lampkin,6041,345,35.25,10.375,82.75,5.21,3.06,1.89,5.48,8.03,31,31,8.33
41,Anu Poleo,,DT,Southern Utah,,5106,306,98.7,-0.9,18.7,Poleo,5106,306,30,9.75,74.375,5.31,2.99,1.81,,,28,30.5,8.67
42,Will Geary,,DT,Kansas State,,5110,304,98.5,-0.9,18.5,Geary,5110,304,31.75,9.125,76.5,5.38,3,1.78,4.53,7.58,32,27,8.5
43,Daniel Ekuale,,DT,Washington State,,6032,299,97.9,-0.9,17.2,Ekuale,6032,299,31.875,9,77.75,5.24,2.98,1.78,4.7,7.52,23,31.5,8.17
44,Christian LaCouture,,DT,LSU,,6043,293,97.1,-1,15.8,LaCouture,6043,293,30.25,10,75.125,5.19,2.95,1.83,4.68,7.54,41,29.5,8.42
45,Kendrick Norton,DL14,DT,Miami,21.2,6027,314,97.1,-1,15.8,Norton,6027,314,33.75,10.75,81.25,5.25,3.01,1.78,4.91,7.86,30,29.5,8.25
46,Jon Cunningham,,DT,Kent State,,5112,309,97,-1,15.7,Cunningham,5112,309,32,9.5,79.75,5.13,2.97,1.75,4.84,8.34,25,28,8.83
47,Robert Torgerson,,DT,Southern Utah,,6034,300,96.3,-1.1,14.5,Torgerson,6034,300,30.75,8.75,76,5.13,2.94,1.82,4.64,7.64,25,29.5,8.67
48,Keane Belcher,,DT,Grand Valley State,,6027,289,96,-1.1,14.1,Belcher,6027,289,31.125,9.625,74.5,5.2,2.94,1.9,4.71,7.76,25,33,9.08
49,Parker Cothren,,DT,Penn State,,6036,289,95.7,-1.1,13.5,Cothren,6036,289,32.25,9.625,77.25,5,2.88,1.75,4.72,7.89,17,28.5,9.17
50,Deadrin Senat,DL17,DT,South Florida,,6000,314,95.6,-1.1,13.4,Senat,6000,314,31.625,9.75,76.25,5.16,3.01,1.76,4.79,7.77,35,26,8.33
51,Isaiah Stephens,,DT,William & Mary,,6015,326,95.5,-1.1,13.2,Stephens,6015,326,33,9.125,81.75,5.47,3.21,1.82,5.1,8.01,26,29,8.33
52,Mike Hughes Jr.,,DT,UNLV,,6020,308,94.5,-1.2,11.7,Hughes Jr.,6020,308,30.25,9.625,76.25,5.3,3,1.8,4.61,,28,28,8.17
53,Jamiyus Pittman,,DT,Central Florida,,6014,301,94.3,-1.2,11.4,Pittman,6014,301,32.75,9.375,79.375,5.27,2.91,1.81,4.76,7.73,25,30,8.42
54,Andre Lino,,DT,Eastern Washington,,6025,275,93.9,-1.2,10.9,Lino,6025,275,32.75,9.625,79.25,5.16,2.95,1.75,4.49,7.51,20,27.5,8.83
