#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Lorenzo Carter,LB07,DE,Georgia,22.7,6047,250,143.1,1.8,96.1,Carter,6047,250,34,10.375,82,4.46,2.6,1.56,,,,36,10.83
2,Josh Sweat,DL48,DE,Florida State,21.4,6046,251,142.2,1.7,95.4,Sweat,6046,251,34.625,10.25,84.125,4.53,2.61,1.55,4.28,6.95,16,39.5,10.33
3,Tyquan Lewis,DL40,DE,Ohio State,23.6,6032,269,138.3,1.4,91.9,Lewis,6032,269,33.75,10.375,80.125,4.69,2.71,1.57,4.34,7.2,24,35.5,10.58
4,Ade Aruna,DL26,DE,Tulane,24.3,6045,262,135,1.2,87.5,Aruna,6045,262,34,10.625,80,4.6,2.71,1.59,4.48,7.44,18,38.5,10.67
5,Harold Landry,DL39,DE,Boston College,22.2,6023,252,134.7,1.1,87.1,Landry,6023,252,32.875,9.375,78.875,4.64,2.69,1.59,4.19,6.88,24,36,9.92
6,Ogbonnia Okoronkwo,LB30,DE,Oklahoma,23.4,6015,253,133.8,1.1,85.5,Okoronkwo,6015,253,33.75,9,80.25,4.76,2.72,1.6,4.34,7.09,27,38,10.42
7,Bradley Chubb,DL28,DE,North Carolina State,22.2,6043,269,132.1,0.9,82.4,Chubb,6043,269,34,9.875,79,4.65,2.72,1.62,4.34,7.37,24,36,10.08
8,Kylie Fitts,DL32,DE,Utah,23.9,6036,263,131.9,0.9,82.1,Fitts,6036,263,33,9.5,77.25,4.69,2.72,1.61,4.19,6.88,31,32.5,9.75
9,Zach Barnes,,DE,Texas Tech,,6021,247,131.4,0.9,81.2,Barnes,6021,247,32.25,9.125,77,4.63,2.68,1.71,4.2,7.11,26,37.5,10.25
10,Marcus Davenport,DL29,DE,Texas-San Antonio,22,6056,264,130.9,0.8,80.1,Davenport,6056,264,33.625,9.125,80.625,4.58,2.67,1.62,4.41,7.2,22,33.5,10.33
