#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Peter Pujals,,QB,Holy Cross,,6013,213,120.3,1.3,90.8,Pujals,6013,213,32,9.625,78.125,4.6,2.69,1.69,4.1,6.9,,38,9.67
2,Kyle Postma,,QB,Houston,,6020,203,117,1.1,87.2,Postma,6020,203,31.75,9.75,76.75,4.7,2.63,1.7,4.13,6.67,12,34.5,10.42
3,Troy Williams,,QB,Utah,,6017,205,116.7,1.1,86.8,Williams,6017,205,31,9,75.375,4.58,2.69,1.6,4.32,6.89,,33.5,10.25
4,Josh Allen,QB02,QB,Wyoming,22.3,6047,237,115.9,1.1,85.7,Allen,6047,237,33.25,10.125,78.375,4.75,2.74,1.59,4.4,6.9,,33.5,9.92
5,Ryan Burns,,QB,Stanford,,6047,245,115.8,1.1,85.7,Burns,6047,245,32.125,10,77.75,4.81,2.7,1.57,4.31,7.27,16,36,9.75
6,Montell Cozart,,QB,Boise State,,6013,211,114.5,1,83.8,Cozart,6013,211,32,9.625,80.25,4.67,2.73,1.62,4.24,6.95,,34,10
7,Reggie Bell,,QB,Ferris State,,6025,194,113.6,0.9,82.5,Bell,6025,194,30.875,8.875,75.375,4.58,2.72,1.59,4.32,7.25,4,37.5,10.33
8,Chris Streveler,,QB,South Dakota,,6015,209,113.1,0.9,81.7,Streveler,6015,209,31.375,8.5,74.125,4.51,2.59,1.65,4.73,7.35,,38.5,10.42
9,Quinton Flowers,QB09,QB,South Florida,23.7,5103,214,107.3,0.6,71.5,Flowers,5103,214,30.875,9.75,73.75,4.63,2.7,1.58,4.35,6.81,,,9.33
10,Kyle Lauletta,QB11,QB,Richmond,23.5,6025,222,105,0.4,66.9,Lauletta,6025,222,30.625,9.75,76,4.81,2.78,1.67,4.07,6.95,,31,9.42
11,Andrew Elffers,,QB,Azusa Pacific,,6024,219,101.8,0.2,59.8,Elffers,6024,219,31.5,9.375,76.625,4.75,2.72,1.66,4.48,7.13,,34.5,9.42
12,Ian Kolste,,QB,Whitworth,,6003,199,101.5,0.2,59.1,Kolste,6003,199,30.25,8.625,72.5,4.75,2.76,1.64,4.41,7.1,,33.5,9.83
13,Danny Etling,QB06,QB,LSU,24.1,6024,222,100.9,0.2,57.7,Etling,6024,222,31,9.375,75.25,4.76,2.75,1.63,4.37,7.09,,30.5,9.5
14,Alex McGough,,QB,Florida International,,6033,214,100.5,0.2,56.8,McGough,6033,214,31.25,9.125,76.875,4.62,2.65,1.6,4.5,7.27,,32.5,9.33
15,Dalton Sturm,,QB,Texas-San Antonio,,6010,206,100.2,0.2,56.2,Sturm,6010,206,33.75,9.375,76,4.78,2.81,1.75,4.45,7.16,,34.5,10.08
16,John Wolford,,QB,Wake Forest,,5114,205,97.8,0,50.6,Wolford,5114,205,29.125,9.625,70.625,4.77,2.76,1.7,4.18,6.78,,31,9.08
17,Connor Jessop,,QB,Shepherd,,6044,212,95.7,-0.1,45.7,Jessop,6044,212,31.125,9.875,76.125,4.81,2.84,1.65,4.42,7.08,,29.5,9.67
18,Kyle Allen,,QB,Houston,22.5,6032,210,95.5,-0.1,45.2,Allen,6032,210,29.625,9.375,73.875,4.71,2.76,1.71,4.26,,,28.5,9.42
19,Logan Woodside,QB19,QB,Toledo,23.6,6012,213,94.8,-0.2,43.6,Woodside,6012,213,31,9.75,72.375,4.79,2.8,1.69,4.15,6.94,,31.5,8.58
