#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Dylan Cantrell,WO06,WR,Texas Tech,24.2,6027,226,148.7,2.9,99.8,Cantrell,6027,226,31.375,9.25,76.375,4.44,2.6,1.55,4.03,6.56,18,41,11.25
2,Jonah Trinnaman,,WR,BYU,,5104,192,140.7,2.2,98.5,Trinnaman,5104,192,30.375,9,74.125,4.3,2.5,1.49,4.36,6.96,14,40.5,12
3,D.J. Moore,WO25,WR,Maryland,21.4,6000,210,137.4,1.9,97.1,Moore,6000,210,31.625,9,76.25,4.42,2.59,1.54,4.07,6.95,15,39.5,11
4,D.J. Chark,WO08,WR,LSU,21.9,6027,199,136.1,1.8,96.2,Chark,6027,199,32.375,9.25,79,4.34,2.54,1.51,,,16,40,10.75
5,Jordan Smallwood,,WR,Oklahoma,,6020,219,135.4,1.7,95.7,Smallwood,6020,219,31,9.125,75.375,4.53,2.58,1.52,4.26,6.95,21,39,10.83
6,Courtland Sutton,WO36,WR,SMU,22.9,6033,218,133.9,1.6,94.4,Sutton,6033,218,32.375,9.75,79.25,4.54,2.61,1.52,4.11,6.57,18,35.5,10.5
7,Derrick Willies,,WR,Texas Tech,,6035,207,131.9,1.4,92.1,Willies,6035,207,33,9.75,79.375,4.55,2.6,1.66,4.01,6.84,15,41,11.17
8,Vyncint Smith,,WR,Limestone,,6020,197,131.5,1.4,91.6,Smith,6020,197,31.5,9.5,75.375,4.38,2.57,1.52,4.27,6.89,,39.5,10.83
9,Justin Watson,,WR,Pennsylvania,22.4,6023,215,130.6,1.3,90.3,Watson,6023,215,33.75,9.25,78.125,4.44,2.6,1.53,4.26,7.08,20,40,10.33
10,Deontez Alexander,,WR,Franklin,,6012,196,129.8,1.2,89.1,Alexander,6012,196,32,8.625,78.125,4.35,2.56,1.56,4.08,6.91,15,37.5,10.83
11,Anthony Miller,WO23,WR,Memphis,23.9,5111,201,128.5,1.1,86.7,Miller,5111,201,31.625,10,75.5,4.5,2.59,1.57,4.26,6.65,22,39,10.42
12,Caleb Scott,,WR,Vanderbilt,,6021,203,127.8,1.1,85.4,Scott,6021,203,30.625,9,75.875,4.46,2.54,1.5,4.35,6.58,13,37,10.33
13,Daurice Fountain,,WR,Northern Iowa,22.7,6014,206,127.5,1,84.8,Fountain,6014,206,34,10.125,79.125,4.51,2.6,1.65,4.29,7.02,14,42.5,11.17
14,Kahlil Dawson,,WR,Portland State,,5072,177,126.7,1,83.2,Dawson,5072,177,31,8,73.375,4.37,2.52,1.52,4.08,6.59,14,38.5,10.17
15,Cameron Batson,,WR,Texas Tech,22.7,5082,175,126,0.9,81.6,Batson,5082,175,28.875,9,69.125,4.35,2.53,1.56,4,6.69,14,39,10.33
16,Saeed Blacknall,,WR,Penn State,22.5,6020,208,125.9,0.9,81.3,Blacknall,6020,208,33.375,9.875,79.5,4.37,2.53,1.55,4.19,6.77,24,32.5,10.58
17,Ellis Jefferson,,WR,Houston,,6036,219,124.9,0.8,78.9,Jefferson,6036,219,34.125,9.625,81,4.55,2.65,1.58,4.2,7.01,10,37,10.67
18,J'Mon Moore,WO26,WR,Missouri,23.3,6025,207,124.7,0.8,78.4,Moore,6025,207,32.875,9.375,78.625,4.49,2.6,1.64,4.04,6.56,21,38,10
19,Damion Ratley,,WR,Texas A&M,,6016,196,123.7,0.7,75.8,Ratley,6016,196,31,9.5,74.75,4.39,2.59,1.54,4.23,6.92,12,38,10.33
20,Allen Lazard,WO20,WR,Iowa State,22.7,6045,227,123.3,0.7,74.5,Lazard,6045,227,32.25,9.75,78.75,4.55,2.63,1.58,4.33,7.11,17,38,10.33
21,Jacob Sannon,,WR,Idaho,,5111,190,123.2,0.7,74.5,Sannon,5111,190,30.375,9.25,75.125,4.47,2.6,1.59,4.23,6.76,16,38,10.67
22,Jaelon Acklin,,WR,Western Illinois,,6012,185,122.8,0.6,73.2,Acklin,6012,185,30.5,9.875,74.5,4.49,2.59,1.58,4.05,6.64,,38,10.25
23,Teo Redding,,WR,Bowling Green,,6010,181,122.2,0.6,71.4,Redding,6010,181,32.625,9.375,76.25,4.46,2.58,1.59,4.22,6.85,10,38.5,11
24,Devin Gray,,WR,Cincinnati,,5113,183,121.8,0.5,70.5,Gray,5113,183,30.75,9.375,73.625,4.41,2.57,1.5,4.19,6.9,15,35.5,10.42
25,Darnell Adams,,WR,Portland State,,6007,198,121.6,0.5,69.6,Adams,6007,198,31.75,9.25,76,4.61,2.64,1.6,4.22,6.89,,42,10.08
26,Mikah Holder,,WR,San Diego State,,6004,183,121.4,0.5,69.2,Holder,6004,183,31.75,9.625,75.5,4.56,2.63,1.58,4.06,6.88,7,40,10.42
27,JJ Jones,,WR,West Georgia,,5095,175,121.1,0.5,68.2,Jones,5095,175,29.75,8.25,72.75,4.35,2.55,1.53,4.26,6.83,5,38,10.67
28,Frank Stephens,,WR,Northern Colorado,,5094,176,120.9,0.5,67.7,Stephens,5094,176,30.5,9.125,72.25,4.42,2.52,1.5,4.08,6.82,13,36,10.17
29,Rueben Mwehla,,WR,Idaho,,5076,176,120.7,0.4,66.9,Mwehla,5076,176,31,8.875,75,4.43,2.58,1.6,4.12,6.89,16,41,10.25
30,Jared Jackson,,WR,Florida State,,6022,199,119.8,0.4,64,Jackson,6022,199,31.5,9.25,77,4.57,2.68,1.57,4.21,6.98,9,37.5,10.5
31,Michael Gallup,WO12,WR,Colorado State,22.5,6006,205,119.6,0.3,63.3,Gallup,6006,205,31.5,9.25,73.625,4.45,2.63,1.57,4.37,6.95,10,36,10.67
32,Jaleel Scott,WO33,WR,New Mexico State,23.5,6046,218,119.5,0.3,63.1,Scott,6046,218,33.5,10,81.25,4.56,2.62,1.56,4.25,7.06,16,34.5,10.33
33,James Washington,WO39,WR,Oklahoma State,22.4,5110,213,119.5,0.3,63,Washington,5110,213,32.375,9.75,78.25,4.5,2.64,1.59,4.32,7.11,14,39,10.17
34,DaeSean Hamilton,WO14,WR,Penn State,23.5,6005,203,119.5,0.3,62.9,Hamilton,6005,203,31,9.375,76.25,4.52,2.61,1.57,4.15,6.84,16,34.5,10.25
35,Equanimeous St. Brown,WO35,WR,Notre Dame,21.9,6046,214,119.4,0.3,62.6,St. Brown,6046,214,33,9.75,78.875,4.48,2.59,1.54,,,20,34.5,
36,Jester Weah,WO40,WR,Pittsburgh,23.6,6022,211,119.3,0.3,62.5,Weah,6022,211,31.125,9.625,76.625,4.43,2.63,1.6,4.41,7.24,15,38,10.75
37,Russell Gage,,WR,LSU,,6000,186,119,0.3,61.4,Gage,6000,186,33,9.125,76.375,4.5,2.54,1.54,4.25,7.03,15,39,10.17
38,Alejandro Marenco III,,WR,West Virginia,,5091,178,118.9,0.3,61.1,Marenco III,5091,178,29.75,9.625,74,4.6,2.62,1.57,4.25,7.17,22,38.5,10.92
39,Josh McPhearson,,WR,Penn State,,5085,200,118.9,0.3,60.9,McPhearson,5085,200,28.875,8.25,70.875,4.48,2.57,1.58,4.31,7.21,19,37,10.67
40,Reggie Bonnafon,,WR,Louisville,,6007,212,118.4,0.2,59.3,Bonnafon,6007,212,32.75,9.75,79,4.53,2.72,1.68,4.25,6.97,20,38,10.58
41,Trent Sherfield,,WR,Vanderbilt,,6002,203,118,0.2,58.2,Sherfield,6002,203,31.875,9.625,77.875,4.45,2.53,1.57,4.2,6.9,19,32.5,10.42
42,Marquez Valdes-Scantling,WO38,WR,South Florida,23.9,6040,206,117.6,0.2,56.5,Valdes-Scantling,6040,206,32.25,10,79.375,4.37,2.58,1.55,4.17,6.85,15,30.5,10.33
43,Jalen Tolliver,,WR,Arkansas-Monticello,,6012,213,117.5,0.2,56.2,Tolliver,6012,213,32.625,8.625,76.875,4.56,2.73,1.64,4.23,6.99,20,37.5,10.17
44,Tre'Quan Smith,WO34,WR,Central Florida,,6016,203,117.4,0.2,56.1,Smith,6016,203,33.375,9.5,80.375,4.49,2.65,1.6,4.5,6.97,12,37.5,10.83
45,Matt VandeBerg,,WR,Iowa,,6005,194,116.3,0.1,52.2,VandeBerg,6005,194,31.75,9,76.25,4.57,2.63,1.56,4.14,,,37,9.75
46,Jeff Badet,,WR,Oklahoma,,5111,182,116.3,0.1,52.2,Badet,5111,182,31,9.25,72.75,4.34,2.59,1.57,4.54,7.24,16,39.5,10.92
47,Keith Kirkwood,,WR,Temple,,6024,221,115.6,0,49.9,Kirkwood,6024,221,33.75,9.5,81,4.45,2.66,1.63,4.43,6.94,,35,10.42
