#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Matthew Thomas,LB36,OLB,Florida State,23.1,6026,232,148.6,2,97.9,Thomas,6026,232,33,8.875,79.125,4.44,2.63,1.54,4.28,6.85,,41.5,10.92
2,Leighton Vander Esch,LB38,ILB,Boise State,22.6,6042,256,143.6,1.9,97.3,Vander Esch,6042,256,33.875,9.75,81.125,4.65,2.69,1.56,4.15,6.88,20,39.5,10.33
3,Oren Burks,LB05,OLB,Vanderbilt,23.4,6031,233,143.1,1.6,94.9,Burks,6031,233,33.375,9.125,79.5,4.59,2.64,1.59,4.15,6.82,18,39.5,10.92
4,Quentin Poling,,ILB,Ohio,24.4,6003,235,139.4,1.6,94.3,Poling,6003,235,32.5,10.125,78.25,4.58,2.56,1.57,4.22,6.88,24,38,10.58
5,Malik Jefferson,LB21,ILB,Texas,21.8,6022,236,136.6,1.3,91,Jefferson,6022,236,32,9.625,74.25,4.52,2.67,1.59,4.18,7.12,27,37,10.42
6,Zaire Franklin,,OLB,Syracuse,,6001,239,137.2,1.2,88.7,Franklin,6001,239,31.75,9.5,77.125,4.62,2.65,1.55,4.22,6.97,30,38,10.17
7,Genard Avery,LB01,ILB,Memphis,,6004,248,134.2,1.1,87.4,Avery,6004,248,31,10.125,74.25,4.59,2.67,1.59,4.36,6.9,26,36,10.33
8,Foyesade Oluokun,,OLB,Yale,,6017,229,135.4,1.1,86,Oluokun,6017,229,32.5,8.75,79,4.48,2.69,1.6,4.12,6.94,18,37,10.25
9,Jerome Baker,LB02,OLB,Ohio State,21.7,6011,229,135.3,1.1,85.8,Baker,6011,229,31.5,10.375,76.125,4.53,2.68,1.62,4.15,6.93,22,36.5,10.5
10,Fred Warner,LB40,OLB,BYU,21.8,6033,236,132.3,0.9,80.4,Warner,6033,236,32,9.75,77,4.64,2.65,1.55,4.28,6.9,21,38.5,9.92
11,Shaquem Griffin,LB14,OLB,Central Florida,23.1,6003,227,131.8,0.8,79.5,Griffin,6003,227,32.125,9,66.5,4.38,2.58,1.54,,6.95,20,35.5,9.75
12,D'Juan Hines,,ILB,Houston,,6010,233,130.2,0.8,79.1,Hines,6010,233,31.375,9.375,74.25,4.65,2.68,1.59,4.31,6.87,15,37.5,10.33
13,Dennis Gardeck,,OLB,Sioux Falls,,6004,242,130.2,0.7,76,Gardeck,6004,242,31.375,8.375,74.375,4.57,2.63,1.64,4.32,7.35,31,36.5,10.5
14,Chad Meredith,,OLB,SE Missouri State,,6044,251,129.4,0.6,74,Meredith,6044,251,32.25,9.625,80.375,4.69,2.75,1.59,4.31,6.84,18,35.5,10.08
15,Richard Jarvis,,OLB,Brown,,6016,239,128,0.5,70.6,Jarvis,6016,239,32.625,9.125,79.875,4.65,2.72,1.63,4.25,6.85,24,35.5,10
16,Tremaine Edmunds,LB12,OLB,Virginia Tech,20.3,6044,253,127.4,0.5,69.2,Edmunds,6044,253,34.5,9.375,83,4.54,2.65,1.6,,,19,,9.75
17,Micah Kiser,LB24,ILB,Virginia,23.6,6003,238,126.2,0.5,68.4,Kiser,6003,238,32,9.375,75.75,4.66,2.71,1.62,4.24,7.05,,35.5,10.08
18,Marcus Newby,,OLB,Nebraska,,5116,236,127,0.5,68.1,Newby,5116,236,31.125,8.625,73.75,4.6,2.64,1.62,4.31,7.06,19,35.5,10.33
