Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,Lastme,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
Saquon Barkley,RB,Penn State,21.6,6000,233,148.0,2.1,98.4,Barkley,6000,233,31.375,9.5,74.25,4.4,2.57,1.54,4.24,,29,41,
Trenton Cannon,RB,Virginia State,,5102,185,141.9,1.7,95.1,Cannon,5102,185,30.25,8.375,73.25,4.4,2.6,1.4,4.04,7.02,17,38.5,10.75
Mike Boone,RB,Cincinti,,5097,206,140.4,1.5,93.8,Boone,5097,206,30.375,9.5,74.125,4.44,2.58,1.6,4.38,6.95,25,42,11.58
Kalen Ballage,RB,Arizo State,22.7,6014,228,136.6,1.2,89.1,Ballage,6014,228,32.75,9.5,77.125,4.44,2.59,1.5,4.2,6.91,15,37,10.17
Bo Scarbrough,RB,Alabama,23.9,6013,228,134.5,1.1,85.5,Scarbrough,6013,228,33.5,10,80.75,4.52,2.65,1.56,4.34,,14,40,10.75
David Jackson,FB,UTEP,,5112,227,124.2,1.1,85.3,Jackson,5112,227,31.625,8.875,74.5,4.75,2.69,1.6,4.38,7.13,24,37,10.5
Nick Chubb,RB,Georgia,22.7,5107,227,133.3,1.0,83.3,Chubb,5107,227,32,9.625,73.625,4.52,2.67,1.62,4.25,7.09,29,38.5,10.67
Ryan Green,RB,Florida State,,5101,192,132.5,0.9,81.5,Green,5101,192,31.5,8.75,74,4.41,2.63,1.5,4.11,6.9,,38,10.17
Josh Adams,RB,Notre Dame,21.8,6015,213,132.0,0.9,80.5,Adams,6015,213,33.75,9.25,79.25,4.51,2.58,1.5,,6.78,18,34,10.17
Marcus Martin,FB,Slippery Rock,,6006,240,119.5,0.7,76.0,Martin,6006,240,31,9.25,75.25,4.7,2.77,1.6,4.22,7.19,32,33,9.67
Justin Jackson,RB,Northwestern,22.4,5115,199,129.9,0.7,75.6,Jackson,5115,199,30.625,9.25,75.875,4.5,2.62,1.57,4.07,6.81,15,38.5,10.17
Austin Ramesh,FB,Wisconsin,,6012,241,119.1,0.7,75.0,Ramesh,6012,241,31.5,10,76.625,4.81,2.71,1.6,4.25,6.89,24,32,9.83
Kerryon Johnson,RB,Auburn,21.2,5114,213,127.6,0.5,69.3,Johnson,5114,213,32.5,9.75,77.625,4.52,2.66,1.6,4.29,7.07,11,40,10.5
Ryan Nall,RB,Oregon State,22.7,6021,232,125.6,0.3,63.4,Nall,6021,232,31.5,10,75.625,4.52,2.6,1.6,4.16,6.95,15,34,10.17
Chase Edmonds,RB,Fordham,22.4,5091,205,124.8,0.3,61.1,Edmonds,5091,205,31.125,9,71.625,4.55,2.66,1.58,4.07,6.79,19,34,10.17
John Kelly,RB,Tennessee,21.9,5097,216,124.3,0.2,59.6,Kelly,5097,216,31.375,9.375,76,4.64,2.69,1.5,4.22,7.13,15,35,10
Nyheim Hines,RB,North Caroli State,21.8,5083,198,123.9,0.2,58.3,Hines,5083,198,30.75,8.875,72.5,4.38,2.55,1.52,4.27,6.9,11,35.5,10.08
Ralph Webb,RB,Vanderbilt,23.9,5092,202,122.9,0.1,55.1,Webb,5092,202,30.25,9.25,72.375,4.49,2.59,1.6,4.15,7.13,27,36,10.17
Royce Freeman,RB,Oregon,22.5,5114,229,122.8,0.1,54.6,Freeman,5114,229,32,9.5,76.75,4.54,2.66,1.6,4.16,6.9,17,34,9.83
Luke McNitt,FB,Nebraska,,6003,237,111.3,0.1,53.9,McNitt,6003,237,29.625,9.375,73.25,4.86,2.78,1.6,4.33,7.28,26,34,9.42
Gus Edwards,RB,Rutgers,,6010,229,122.1,0.1,52.6,Edwards,6010,229,32.625,9.125,77.75,4.52,2.56,1.6,4.24,7.22,17,34.5,10.25
Jay Roberson,FB,Central Michigan,,6014,219,110.8,0.1,52.5,Roberson,6014,219,31.25,9.125,75.5,4.62,2.75,1.7,4.33,7.01,14,36.5,9.92
Chris Warren,RB,Texas,,6020,247,121.5,0.0,50.5,Warren,6020,247,32,10,77,4.69,2.74,1.66,4.18,6.98,25,33,10.08
