#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Troy Apke,DB44,SS,Penn State,23.4,6012,200,147,2.7,99.6,Apke,6012,200,32.375,8.375,75.75,4.34,2.52,1.48,4.03,6.56,16,41,10.92
2,Terrell Edmunds,DB49,SS,Virginia Tech,21.6,6004,217,138.9,1.9,97.2,Edmunds,6004,217,32.75,10.5,79,4.47,2.64,1.58,,,,41.5,11.17
3,Justin Reid,DB62,FS,Stanford,21.5,6004,207,135,1.8,96.3,Reid,6004,207,31.625,9.75,77.5,4.4,2.55,1.52,4.15,6.65,16,36.5,10.67
4,Tarvarius Moore,,FS,Southern Miss,,6011,199,134.4,1.7,95.8,Moore,6011,199,33.125,9,78.375,4.32,2.5,1.51,4.2,6.95,7,38.5,11.08
5,Joshua Kalu,DB58,FS,Nebraska,23,6002,203,134.2,1.7,95.6,Kalu,6002,203,32.75,10,78.125,4.58,2.62,1.6,4.25,6.74,17,41.5,11.17
6,Godwin Igwebuike,DB55,FS,Northwestern,24,5113,213,133.4,1.6,94.7,Igwebuike,5113,213,31.25,9.75,76,4.44,2.6,1.57,4.12,6.56,19,35.5,10.67
7,Jordan Martin,,FS,Syracuse,,6017,204,128.9,1.2,87.9,Martin,6017,204,32.375,8.5,78.625,4.51,2.62,1.56,4.15,6.81,9,37,10.83
8,Derwin James,DB57,SS,Florida State,22.1,6016,215,130.9,1.2,87.6,James,6016,215,33,9.5,78.625,4.47,2.59,1.55,4.34,7.34,21,40,11
9,Warren Long,,SS,Northwestern,,5114,212,128.8,1,83.2,Long,5114,212,31.25,9.25,74,4.49,2.6,1.59,4.18,6.82,17,38.5,10.42
10,Bryson McCabe,,SS,Montana State,,5107,205,127.3,0.8,79.4,McCabe,5107,205,28.625,8.625,69.75,4.56,2.61,1.59,4.06,6.75,12,39.5,10.17
11,Asantay Brown,,SS,Western Michigan,,6003,215,126.9,0.8,78.3,Brown,6003,215,31.5,9.25,75.625,4.62,2.64,1.6,4.15,6.86,16,38,10.5
12,Jamar Summers,,FS,Connecticut,,5105,193,124.6,0.7,77,Summers,5105,193,31.875,9.25,75.125,4.55,2.61,1.53,4.22,6.85,14,37.5,10.42
13,Trayvon Henderson,,SS,Hawaii,,6001,208,125.6,0.7,74.4,Henderson,6001,208,31.25,9.125,75.75,4.58,2.65,1.59,4.15,6.88,10,39.5,10.33
14,Natrell Jamerson,DB56,FS,Wisconsin,,5105,201,123.3,0.6,72.9,Jamerson,5105,201,32.625,9.75,77.25,4.4,2.56,1.53,4.27,7.07,25,35.5,10.25
15,Zed Brown,,SS,West Georgia,,5111,206,124.9,0.6,72.1,Brown,5111,206,31,8,74.125,4.57,2.63,1.57,4.04,7.13,17,38,10.25
16,Bryce Canady,,FS,Florida International,,5116,197,122.6,0.5,70.7,Canady,5116,197,31.25,9.25,74.875,4.5,2.58,1.56,4.4,7.15,15,39,10.83
17,Kerron Johnson,,SS,Coastal Carolina,,6011,216,124,0.5,69.3,Johnson,6011,216,33.5,8.75,80.5,4.69,2.69,1.6,4.13,6.95,12,36.5,10.67
18,Micah Hanneman,,SS,BYU,,6000,195,122.9,0.4,65.8,Hanneman,6000,195,31.25,9.375,76.625,4.57,2.65,1.57,4.13,6.57,19,35,10.25
19,Dallin Leavitt,,SS,Utah State,,5100,203,122.7,0.4,65,Leavitt,5100,203,29.625,9.25,76,4.56,2.65,1.54,4.19,6.73,18,34.5,10.17
20,Kyzir White,DB69,SS,West Virginia,22.4,6017,218,122.2,0.3,63.1,White,6017,218,31.625,10.125,76.75,4.69,2.67,1.55,4.26,6.96,21,35.5,10.17
21,Travin Howard,,SS,TCU,,5017,211,121.8,0.3,61.8,Howard,5017,211,31.5,9,75,4.56,2.59,1.57,4.2,7.06,20,35.5,10.33
22,Robert Taylor,,FS,Washington State,,5093,188,120,0.3,61.3,Taylor,5093,188,30.375,8.375,72.25,4.51,2.6,1.62,4.06,6.93,14,39,10.25
23,Marcus Allen,DB43,SS,Penn State,22.1,6021,215,121.7,0.3,61.3,Allen,6021,215,30.625,9.125,74,4.63,2.67,1.57,4.32,7.13,15,37,10.58
24,Trey Marshall,,SS,Florida State,,5113,205,121.6,0.3,61.1,Marshall,5113,205,32.375,9.5,77,4.54,2.62,1.55,4.26,7.08,15,36.5,10.42
25,Tray Matthews,,SS,Auburn,,6005,213,121.5,0.3,60.6,Matthews,6005,213,33.125,8.25,78.125,4.56,2.64,1.5,4.41,7.06,22,35.5,10.08
26,Kelsey Douglas,,SS,Southern Miss,,5105,190,121.1,0.2,59.2,Douglas,5105,190,30,8.25,74,4.44,2.57,1.56,4.15,7.15,12,37.5,10.5
27,Siran Neal,DB60,SS,Jacksonville State,24.1,6000,206,121,0.2,58.8,Neal,6000,206,31.125,9.875,75.875,4.56,2.62,1.62,4.28,7,17,40.5,10.17
28,Steven Parker,,SS,Oklahoma,,6011,203,120,0.1,55.1,Parker,6011,203,33.25,9.5,77.375,4.58,2.72,1.57,4.33,6.83,9,36.5,10.5
29,Tyrice Beverette,,SS,Stony Brook,,6002,203,119.4,0.1,52.8,Beverette,6002,203,31.875,9.375,76.5,4.58,2.6,1.56,4.2,7.07,,36.5,10.17
30,Tyree Robinson,,FS,Oregon,,6022,202,117.5,0,51.5,Robinson,6022,202,31.5,8.75,76.25,4.54,2.67,1.62,4.34,7.1,10,37.5,10.83
31,Josh Liddell,,FS,Arkansas,,6001,200,117,0,49.5,Liddell,6001,200,32,8.375,77,4.56,2.67,1.64,4.26,6.93,14,36,10.75
32,Ryan Neal,,FS,Southern Illinois,,6017,187,116.8,0,48.7,Neal,6017,187,31.75,8.75,75.375,4.47,2.63,1.58,4.29,7.18,15,37.5,10.58
33,Bobby Fulp,,SS,East Carolina,,6037,196,117.5,-0.1,45.7,Fulp,6037,196,32.625,9.625,79.125,4.68,2.69,1.56,4.22,7.02,11,38,10.17
34,Tray Mitchell,,FS,Eastern Illinois,,5106,196,115.9,-0.1,45,Mitchell,5106,196,31.125,7.75,72.5,4.51,2.64,1.55,4.51,6.89,16,34.5,10.58
35,Jessie Bates,DB45,FS,Wake Forest,21.9,6011,200,115.5,-0.2,43.5,Bates,6011,200,31.625,9.75,75.375,4.5,2.63,1.58,4.25,6.78,,35.5,9.75
36,Tre Flowers,DB52,SS,Oklahoma State,23.2,6032,202,116.5,-0.2,42.1,Flowers,6032,202,33.875,9,79.375,4.45,2.58,1.53,4.34,7.17,18,34.5,10.17
37,Chris Cooper,,FS,Stony Brook,,5103,202,115,-0.2,41.4,Cooper,5103,202,29.5,8.375,71.25,4.47,2.58,1.6,,,17,35,9.92
38,Anthony Sherrils,,SS,Missouri,,5114,204,114.8,-0.4,35.7,Sherrils,5114,204,32.125,8.375,74.75,4.42,2.56,1.57,4.39,7.21,25,35,10.08
39,A.J. Moore,,FS,Mississippi,,5112,200,113,-0.4,33.7,Moore,5112,200,32.125,8.75,76,4.4,2.64,1.54,4.38,7.27,17,34,10.17
40,Mike Basile,,FS,Monmouth (NJ),,5116,193,112.9,-0.4,33.6,Basile,5116,193,30,9.25,72.5,4.66,2.69,1.59,4.16,6.69,13,34,10
41,J.T. Gray,,SS,Mississippi State,,5112,195,114,-0.4,33.2,Gray,5112,195,32.5,8.75,74.875,4.5,2.56,1.59,4.19,7.03,19,33.5,10.25
42,Corey Winfield,,FS,West Virginia,,5116,198,112.3,-0.5,31.4,Winfield,5116,198,31.5,9.375,77,4.72,2.72,1.59,4.26,7.1,12,35,10.5
43,Jonathan Hagler,,SS,Jacksonville State,,5107,210,113.4,-0.5,30.9,Hagler,5107,210,30.875,9.5,75.875,4.7,2.69,1.62,4.39,7.17,21,36.5,10.42
44,Brandon Arnold,,SS,Oregon State,,5110,201,113.3,-0.5,30.8,Arnold,5110,201,31.5,9,75.75,4.62,2.7,1.62,4.26,7,15,36,10.25
45,Deon Newsome,,FS,Virginia Tech,,5106,193,112,-0.5,30.2,Newsome,5106,193,29.875,9.25,74.5,4.69,2.66,1.52,4.39,6.94,13,36.5,9.75
46,Corey Griffin,,SS,Georgia Tech,,6011,204,112.7,-0.6,28.7,Griffin,6011,204,32.25,8.625,77.875,4.56,2.6,1.6,4.26,7.09,13,35,10.17
47,Trey Walker,DB66,SS,Louisiana-Lafayette,23.6,6007,206,112.5,-0.6,28.2,Walker,6007,206,33.5,8.75,81.5,4.51,2.64,1.56,4.28,7,14,33,9.92
48,Quin Blanding,DB46,FS,Virginia,22.3,6020,207,111.4,-0.6,28.2,Blanding,6020,207,31.75,8.375,76.125,4.63,2.65,1.55,,,,31.5,10.17
49,Jaden Wright,,SS,New Mexico State,,5111,200,111.9,-0.6,26.2,Wright,5111,200,31.625,8.625,76.125,4.73,2.71,1.64,4.19,7.04,16,37,10.17
50,Ryan Moeller,,SS,Colorado,,6001,208,111.5,-0.7,25.1,Moeller,6001,208,30.875,9.375,73.375,4.63,2.66,1.61,4.32,7.09,19,34,10.25
51,Ronnie Harrison,DB54,SS,Alabama,21.4,6020,207,111.4,-0.7,24.7,Harrison,6020,207,33.375,9.5,80.375,4.63,2.64,1.58,,,,34,10
52,A.J. Howard,,SS,Appalachian State,,5101,203,111.2,-0.7,24,Howard,5101,203,30.125,9.125,71.625,4.51,2.58,1.57,4.18,7.06,24,32.5,9.58
53,Cole Reyes,,SS,North Dakota,,6006,214,110.7,-0.7,22.8,Reyes,6006,214,30.125,9.625,73.375,4.55,2.66,1.66,4.12,7.08,,33.5,10
54,Jordan Whitehead,DB70,FS,Pittsburgh,21.5,5103,198,109.5,-0.8,22.3,Whitehead,5103,198,29.75,8.5,73.75,4.59,2.66,1.61,4.31,7.16,21,34,10.25
55,Thomas Wilson,,SS,Missouri,,5096,193,110.5,-0.8,22.1,Wilson,5096,193,31.5,9,73.625,4.64,2.69,1.64,4.28,7.07,12,39.5,10
56,Terrell Williams,,FS,Houston,,6035,213,109.4,-0.8,21.7,Williams,6035,213,33.5,9.25,80.5,4.56,2.63,1.69,4.31,7.1,12,36,10.33
57,Marvin Gross Jr.,,SS,West Virginia,,6022,193,110.2,-0.8,21.4,Gross Jr.,6022,193,33,9.5,78.5,4.63,2.64,1.58,4.24,6.85,5,33,10.33
58,DeShon Elliott,DB50,SS,Texas,21.4,6007,210,110.2,-0.8,21.2,Elliott,6007,210,32.25,10.5,77.75,4.58,2.69,1.59,4.46,7.22,15,36,10.08
59,Afolabi Laguda,,FS,Colorado,,6004,203,108.4,-0.9,19.1,Laguda,6004,203,33.375,10,80,4.64,2.68,1.64,4.44,7.14,13,36,10.5
60,Jason Hall,,SS,Texas,,6020,219,109.1,-0.9,18.4,Hall,6020,219,31.5,9.375,75.75,4.59,2.65,1.66,4.32,7.33,18,36.5,10
61,Raven Greene,,FS,James Madison,,5111,197,107.7,-0.9,17.2,Greene,5111,197,31.125,9.875,74.5,4.51,2.62,1.57,4.41,7.08,14,34,9.92
62,Khalil Williams,,SS,Houston,,5110,213,108.6,-0.9,17.1,Williams,5110,213,32.25,10.125,75,4.66,2.61,1.64,4.51,6.88,18,36.5,9.83
