#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Mike Gesicki,TE07,TE,Penn State,22.9,6054,247,150.7,2.5,99.3,Gesicki,6054,247,34.125,10.25,82.125,4.54,2.65,1.56,4.1,6.76,22,41.5,10.75
2,Ian Thomas,TE15,TE,Indiana,22.2,6035,259,135.5,1.4,91.2,Thomas,6035,259,32.5,10,80.125,4.65,2.7,1.56,4.2,7.15,,36,10.25
3,Tyler Conklin,TE04,TE,Central Michigan,23.1,6030,254,125.2,0.6,72.2,Conklin,6030,254,33,9.5,77.875,4.8,2.78,1.66,4.23,7.13,18,38,10
4,Andrew Vollert,,TE,Weber State,23.5,6055,239,120.6,0.3,59.9,Vollert,6055,239,30.375,9.25,75.375,4.6,2.62,1.64,4.08,6.9,12,32,9.75
5,Garrett Hudson,,TE,Richmond,,6036,244,117.3,0,50,Hudson,6036,244,30.5,9.125,75,4.6,2.69,1.57,4.41,7.26,20,34,9.58
6,Hayden Hurst,TE10,TE,South Carolina,25,6044,250,115.8,-0.1,45.8,Hurst,6044,250,32.75,9.75,76.5,4.67,2.71,1.63,4.37,7.19,16,32,10
7,Mark Andrews,TE02,TE,Oklahoma,23,6051,256,115.2,-0.1,44.1,Andrews,6051,256,32.5,9.5,77,4.58,2.75,1.54,4.38,7.34,17,31,9.42
8,Dalton Schultz,TE13,TE,Stanford,22.1,6053,244,114.7,-0.2,42.4,Schultz,6053,244,31.25,9.25,75.375,4.75,2.76,1.64,4.4,7,20,32,10
9,Derrick Hayward,,TE,Maryland,,6046,237,114.1,-0.2,40.8,Hayward,6046,237,33.625,9.75,80.375,4.81,2.78,1.68,4.47,7.18,23,34.5,10.42
10,Nick Keizer,,TE,Grand Valley State,,6047,251,112.3,-0.4,35.7,Keizer,6047,251,32.25,10.25,80.125,4.82,2.79,1.67,4.35,7.35,27,32,10.08
11,Matt Flanagan,,TE,Pittsburgh,,6052,260,112.3,-0.4,35.6,Flanagan,6052,260,32.875,9.375,77.375,4.82,2.82,1.64,4.38,7.21,,31.5,9.67
12,Tyler Hoppes,,TE,Nebraska,,6032,236,111.7,-0.4,34,Hoppes,6032,236,32,9.375,78.375,4.76,2.69,1.58,4.47,7.02,16,33,9.75
13,Nathan Marcus,,TE,Vanderbilt,,6051,236,110,-0.5,29.5,Marcus,6051,236,31.875,9.125,76.125,4.69,2.75,1.65,4.45,7.09,17,33,9.67
14,Deon Yelder,,TE,Western Kentucky,,6032,255,109.7,-0.6,28.8,Yelder,6032,255,33,10.125,78.75,4.78,2.72,1.62,4.64,7.32,18,33,10
15,Marcus Baugh,TE03,TE,Ohio State,23.7,6034,247,107.4,-0.7,23.2,Baugh,6034,247,33.5,10,80.125,4.77,2.81,1.67,4.51,7.28,,33,9.75
16,Cole Hunt,,TE,TCU,,6061,254,107.3,-0.7,23,Hunt,6061,254,32.25,9,79.75,4.83,2.69,1.72,4.37,7.15,21,32,9.58
17,David Wells,TE17,TE,San Diego State,23.3,6055,256,107.3,-0.7,22.9,Wells,6055,256,32.25,9.625,76.625,4.75,2.74,1.62,4.59,7.5,20,33,9.67
18,Charles Standberry,,TE,Louisville,,6030,238,106.8,-0.8,21.9,Standberry,6030,238,32.75,10.25,78.75,4.96,2.91,1.73,4.32,6.96,25,34,9.67
19,Durham Smythe,TE14,TE,Notre Dame,23.1,6053,253,106.1,-0.8,20.4,Smythe,6053,253,31.75,9.25,77.375,4.81,2.79,1.67,4.23,7.17,18,31,9.17
20,Tom Pancoast,,TE,Penn State,,6034,242,105.7,-0.9,19.6,Pancoast,6034,242,31.625,9.375,77.125,4.78,2.84,1.7,4.47,7.22,21,31,10
21,Deandre Goolsby,,TE,Florida,,6042,240,105,-0.9,18.2,Goolsby,6042,240,32.75,10.625,79.875,4.79,2.76,1.65,4.36,6.97,13,30.5,9.5
22,Ryan Izzo,TE11,TE,Florida State,22.7,6045,256,104.3,-1,16.9,Izzo,6045,256,32.125,9,76,4.86,2.86,1.69,4.43,7.15,18,33,9.17
23,Pharoah McKever,,TE,Florida International,,6061,259,104.3,-1,16.8,McKever,6061,259,33.625,9.375,82.5,4.79,2.77,1.7,4.72,7.26,15,31.5,9.92
24,Will Dissly,TE05,TE,Washington,,6036,262,103.8,-1,15.9,Dissly,6036,262,33.25,9.75,79.25,4.87,2.86,1.71,4.4,7.07,15,31,9.25
25,Jordan Davis,,TE,Georgia,,6044,244,103.4,-1,15.2,Davis,6044,244,32.75,9.25,79.75,4.77,2.76,1.69,4.52,7.53,27,31.5,9.92
26,Darryl Richardson,,TE,San Diego State,,6037,239,102.6,-1.1,13.9,Richardson,6037,239,34.5,10,83.375,4.87,2.82,1.63,4.46,7.4,12,32,10
27,Tommy Myers,,TE,Connecticut,,6042,248,102.1,-1.1,13,Myers,6042,248,30.75,9,76,4.89,2.87,1.68,4.49,7.13,22,31.5,9.5
28,Kevin Rader,,TE,Youngstown State,,6037,250,101.7,-1.2,12.5,Rader,6037,250,32.5,9.625,79.875,4.92,2.94,1.73,4.46,7.07,17,34,9.33
29,Jordan Thomas,TE16,TE,Mississippi State,22.1,6054,265,101.1,-1.2,11.5,Thomas,6054,265,34.125,11,82.375,4.69,2.79,1.65,4.64,7.41,16,29.5,9.25
30,Brett Thompson,,TE,Tennessee-Martin,,6035,240,100.6,-1.2,10.9,Thompson,6035,240,32.375,9.125,74.375,4.79,2.86,1.77,4.46,7.13,18,32,9.5
31,Troy Mangen,,TE,Ohio,,6061,253,100.4,-1.3,10.6,Mangen,6061,253,33.125,9.5,79.5,4.94,2.78,1.73,4.44,7.45,,32,9.83
32,Metuisela Unga,,TE,Hawaii,,6044,244,98.4,-1.4,8.1,Unga,6044,244,32.375,9.875,78.5,4.86,2.78,1.65,4.61,7.27,16,33,9.33
33,Steve Baggett,,TE,East Carolina,,6052,251,97.4,-1.5,7,Baggett,6052,251,31.625,9.25,75.25,4.75,2.75,1.66,4.64,7.52,25,30.5,9.33
34,Ben Johnson,,TE,Kansas,,6037,246,96.8,-1.5,6.5,Johnson,6037,246,30.5,9.75,76.375,4.99,2.84,1.78,4.39,7.26,17,33,9.5
35,Cam Serigne,,TE,Wake Forest,,6021,240,96.5,-1.5,6.2,Serigne,6021,240,32.125,9,77,4.97,2.9,1.7,4.34,7.09,17,32,9.08
