#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Dylan Cantrell,WO06,WR,Texas Tech,24.2,6027,226,141.1,2.2,98.6,Cantrell,6027,226,31.375,9.25,76.375,4.59,2.64,1.55,4.03,6.56,18,38.5,10.83
2,D.J. Moore,WO25,WR,Maryland,21.4,6000,210,137.4,1.9,97.1,Moore,6000,210,31.625,9,76.25,4.42,2.59,1.54,4.07,6.95,15,39.5,11
3,Jordan Smallwood,,WR,Oklahoma,,6020,219,136.8,1.8,96.7,Smallwood,6020,219,31,9.125,75.375,4.53,2.58,1.5,4.26,6.95,21,39,10.83
4,D.J. Chark,WO08,WR,LSU,21.9,6027,199,136.1,1.8,96.2,Chark,6027,199,32.375,9.25,79,4.34,2.54,1.51,,,16,40,10.75
5,Justin Watson,,WR,Pennsylvania,22.4,6023,215,132.6,1.5,93,Watson,6023,215,33.75,9.25,78.125,4.44,2.6,1.5,4.26,7.08,20,40,10.33
6,Courtland Sutton,WO36,WR,SMU,22.9,6033,218,132.5,1.5,92.9,Sutton,6033,218,32.375,9.75,79.25,4.54,2.61,1.52,4.11,6.57,18,35.5,10.33
7,Jacob Sannon,,WR,Idaho,,5111,190,129.5,1.2,88.6,Sannon,5111,190,30.375,9.25,75.125,4.47,2.6,1.5,4.23,6.76,16,38,10.67
8,Saeed Blacknall,,WR,Penn State,22.5,6020,208,129.2,1.2,88.1,Blacknall,6020,208,33.375,9.875,79.5,4.37,2.53,1.5,4.19,6.77,24,32.5,10.58
9,Teo Redding,,WR,Bowling Green,,6010,181,128.5,1.1,86.7,Redding,6010,181,32.625,9.375,76.25,4.46,2.58,1.5,4.22,6.85,10,38.5,11
10,Jaelon Acklin,,WR,Western Illinois,23.1,6012,185,128.4,1.1,86.6,Acklin,6012,185,30.5,9.875,74.5,4.49,2.59,1.5,4.05,6.64,,38,10.25
11,Kahlil Dawson,,WR,Portland State,,5072,177,128,1.1,85.9,Dawson,5072,177,31,8,73.375,4.37,2.52,1.5,4.08,6.59,14,38.5,10.17
12,Caleb Scott,,WR,Vanderbilt,,6021,203,127.8,1.1,85.4,Scott,6021,203,30.625,9,75.875,4.46,2.54,1.5,4.35,6.58,13,37,10.33
13,J'Mon Moore,WO26,WR,Missouri,23.3,6025,207,127.7,1,85.2,Moore,6025,207,32.875,9.375,78.625,4.49,2.6,1.6,4.04,6.56,21,38,10
14,Jared Jackson,,WR,Florida State,,6022,199,124.7,0.8,78.5,Jackson,6022,199,31.5,9.25,77,4.57,2.68,1.5,4.21,6.98,9,37.5,10.5
15,Josh McPhearson,,WR,Penn State,,5085,200,124.4,0.8,77.7,McPhearson,5085,200,28.875,8.25,70.875,4.48,2.57,1.5,4.31,7.21,19,37,10.67
16,Michael Gallup,WO12,WR,Colorado State,22.5,6006,205,124.4,0.8,77.7,Gallup,6006,205,31.5,9.25,73.625,4.45,2.63,1.5,4.37,6.95,10,36,10.67
